place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJocF7DwAZ6zkRXW2Rgz2hOfk,Flat White Coffee,27.7217972,85.28382529999999,Kirtipur,0.0,0.0,0.0
ChIJ5U0RWuw96zkRpxVxZKrpbCc,Fresh Coffee with Books,27.6128344,85.26376370000001,Kirtipur,0.0,0.0,0.0
ChIJ3b6V-cEZ6zkR2EzlGPLGgS4,Coffee Cream cafe,27.6658976,85.3003276,Kirtipur,0.0,0.0,0.0
ChIJ08oioRwX6zkRVeGfvgikiD4,Sam's Coffee Shop,27.6452187,85.30462059999999,Kirtipur,0.0,0.0,0.0
ChIJNfm2wXkX6zkRZjXPmfK5COs,Sarang Bakery And Coffee Shop - Nakhipot,27.6543182,85.31711639999999,Kirtipur,0.0,0.0,0.0
ChIJ6X7g5ZIZ6zkRmBllvg-4sBs,Quick Bites Cafe,27.6690403,85.28252739999999,Kirtipur,0.1633,0.0717,0.1014
ChIJo0kCFbQZ6zkRFy3JaTRYXrE,Laya cafe,27.6599028,85.2828684,Kirtipur,0.0,0.0,0.0
ChIJace5egAX6zkRwaMZGbdhvRE,Arabica Coffee,27.6543166,85.3048623,Kirtipur,0.0,0.0,0.0
ChIJX6NGPKQZ6zkRWoYQg3oeYeo,KAJU CAFE,27.6712684,85.27931099999999,Kirtipur,0.2064,0.2084,0.3331
ChIJE2U_5z8Z6zkR4_FR1IrUUS8,Universal Coffee Beans,27.680024600000003,85.2976121,Kirtipur,0.0,0.0019,0.0
ChIJq9Z3dOQj6zkRxRiU4raS36g,coffee & dairy,27.6665388,85.26272449999999,Kirtipur,0.0033,0.0036,0.0
