place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label
ChIJJ1tlf5cZ6zkRjxlM37tu2rk,27.6940315,85.3371116,Baneshwor,0.3775,0.4083,0.4462,0.4909,1
ChIJP_9K8NEZ6zkRKj3W_5jAo0M,27.6800704,85.3371945,Baneshwor,0.2407,0.5388,0.5064,0.533,1
ChIJixQtaUwZ6zkR-BqhRxf1xFM,27.6869306,85.3424996,Baneshwor,0.3991,0.5194,0.4461,0.4257,1
ChIJq5FbP40Z6zkRpEiV5GpUpL8,27.6868447,85.3256208,Baneshwor,0.2506,0.3617,0.5097,0.3636,1
ChIJxz8dQOcZ6zkRQxLLUGobKUw,27.6854259,85.3349757,Baneshwor,0.4016,0.6237,0.4275,0.5077,1
ChIJFQGfV5sZ6zkRf8rRCgxhi-c,27.6906284,85.3352482,Baneshwor,0.4471,0.5534,0.413,0.418,1
ChIJ84LtBAAZ6zkRbnVknpuSqYM,27.6846901,85.337786,Baneshwor,0.3323,0.5998,0.4564,0.4582,1
ChIJmUHonR8Z6zkRx3HbHlleX7g,27.6995768,85.33652169999999,Baneshwor,0.2796,0.4323,0.4764,0.493,1
ChIJIcwzDAAZ6zkR4qMn_fMN16Q,27.695612,85.32829869999999,Baneshwor,0.2207,0.5243,0.4937,0.376,1
ChIJGx1e6owZ6zkR8FuYpBS2aOA,27.6980786,85.3491212,Baneshwor,0.1833,0.4239,0.4981,0.4285,1
ChIJ69vuJ74Z6zkRiTZeLqrumw8,27.7341736,85.33665549999999,Baneshwor,0.0,0.1993,0.4533,0.0,1
ChIJnVTxHmAZ6zkR-J6rSHk_OyM,27.7002692,85.34359180000001,Baneshwor,0.2571,0.4067,0.5076,0.4846,1
ChIJNRn59m8Z6zkRdLZdLLpVIlA,27.6894581,85.3355299,Baneshwor,0.4248,0.6062,0.409,0.397,1
ChIJtVigIL0Z6zkRLhtLmzxH7Hk,27.6852355,85.334662,Baneshwor,0.4146,0.5917,0.4304,0.5274,1
ChIJH1SPMVEZ6zkR7SKZCLi10_4,27.6879494,85.32596269999999,Baneshwor,0.2574,0.3849,0.5056,0.3871,1
ChIJ3zGpcqAZ6zkRfXtUbQlekVk,27.6935367,85.3364476,Baneshwor,0.3976,0.4079,0.4479,0.4851,1
ChIJofB7NS8Z6zkRJzYYsmaQBIc,27.7009425,85.3219325,Baneshwor,0.2912,0.398,0.5071,0.3607,1
ChIJIclnu_0Z6zkRKyqK4PUal9Y,27.6969025,85.3380937,Baneshwor,0.3046,0.3838,0.4605,0.4829,1
ChIJEafrAgAZ6zkRihhNtq0fz-8,27.6918694,85.3325917,Baneshwor,0.3707,0.5348,0.4215,0.4738,1
ChIJNyFJApYZ6zkR9kxSVuP23DQ,27.6887822,85.33446970000001,Baneshwor,0.4482,0.5819,0.4125,0.4189,1
ChIJX0WHr8wZ6zkRMN4234uf49E,27.6966809,85.3440535,Baneshwor,0.2578,0.4218,0.5195,0.5121,1
ChIJMXZlpioZ6zkRh1zg5gv0Rj4,27.694798700000003,85.3374121,Baneshwor,0.3465,0.4027,0.4486,0.5049,1
ChIJLU0kIwAZ6zkRqZKrTH2wZfY,27.6933889,85.34457019999999,Baneshwor,0.3043,0.3943,0.4998,0.5823,1
ChIJB0VsQ7EZ6zkR5aGw77DLAE4,27.6880675,85.3353082,Baneshwor,0.4455,0.5895,0.4104,0.3986,1
ChIJZ61001MZ6zkRWgRozGP-P1U,27.6810841,85.3415199,Baneshwor,0.2345,0.5405,0.4911,0.5661,1
ChIJaeS5UQAZ6zkRw2nI0x_Uo_I,27.7097143,85.33273570000001,Baneshwor,0.1205,0.3361,0.5201,0.3135,1
ChIJNanyFJYZ6zkR5ppk9lwCM5g,27.6896422,85.3355524,Baneshwor,0.4307,0.6035,0.4108,0.4033,1
ChIJ49I7hkkZ6zkRTIqKfjLUhkw,27.691605,85.3404395,Baneshwor,0.3643,0.4146,0.4398,0.4874,1
ChIJZw_ydsoZ6zkRtv-xQ2p4o9E,27.6899375,85.3345625,Baneshwor,0.4266,0.5754,0.4099,0.4253,1
ChIJW5HHZ9AZ6zkR7wkycFFGihg,27.6861919,85.34616749999999,Baneshwor,0.3634,0.4308,0.4598,0.4161,1
ChIJFxgXYgIZ6zkRBb2qR1iHwMA,27.728179800000003,85.3248121,Baneshwor,0.0124,0.2412,0.5125,0.0271,1
ChIJOQNaJ7gZ6zkR4rlyKQ_H06I,27.7033013,85.3233925,Baneshwor,0.376,0.495,0.4905,0.5479,1
ChIJKTz-fgAb6zkRbznc_j12GTM,27.6895644,85.3652216,Baneshwor,0.0538,0.3444,0.4742,0.0902,1
ChIJ62WTAAAZ6zkRFJ91CkCu-bo,27.7071433,85.33315669999999,Baneshwor,0.2005,0.4149,0.507,0.4813,1
ChIJGebFEQAZ6zkRPskjC00KQqQ,27.6868742,85.3253409,Baneshwor,0.2458,0.36,0.506,0.3642,1
ChIJ41bsJQAZ6zkRAd5BMFtLDvc,27.7142514,85.2874633,Baneshwor,0.0,0.2099,0.4546,0.0,1
ChIJS0t1dIAZ6zkRy8TFUVDQ_MM,27.7181981,85.33641159999999,Baneshwor,0.0006,0.235,0.5329,0.0115,1
ChIJZVS-1hgb6zkRRm4q19XoBzU,27.7197654,85.3614903,Baneshwor,0.2302,0.4931,0.2931,0.3995,1
ChIJDfvwr5kZ6zkRS4kH4AKIL7I,27.6965139,85.33750909999999,Baneshwor,0.306,0.3995,0.4564,0.4899,1
ChIJi2vXvwcZ6zkRgZcAu3CVx5U,27.7068936,85.32251749999999,Baneshwor,0.4562,0.5854,0.4843,0.5334,1
ChIJm9z2YgIZ6zkRl_xLnL_RYdU,27.7277942,85.33443899999999,Baneshwor,0.0,0.2219,0.2845,0.0,1
ChIJ7fFdzTEZ6zkRRKVC8khx_kc,27.7336627,85.3175128,Baneshwor,0.0,0.2182,0.518,0.0,1
ChIJMagavIsZ6zkRuULwnOp4hQQ,27.7182567,85.3491572,Baneshwor,0.2769,0.4013,0.4966,0.3743,1
ChIJJxdGNcAZ6zkRaLWeXojyguI,27.7232147,85.33091569999999,Baneshwor,0.0239,0.2635,0.469,0.1019,1
ChIJ2-DCD_wY6zkRSuuvB-s0OxE,27.7116266,85.3089788,Baneshwor,0.4748,0.4877,0.2873,0.7402,1
ChIJ81syaCAZ6zkRnio87hfzZyY,27.684552600000004,85.3343945,Baneshwor,0.418,0.5782,0.4434,0.5608,1
ChIJCSnn8IEb6zkREiPjK4H-PZg,27.6942609,85.3665262,Baneshwor,0.0,0.2315,0.503,0.0,1
ChIJZ5G_fEcZ6zkRjAar8lAW58s,27.7373953,85.3344606,Baneshwor,0.0,0.1922,0.4378,0.0,1
ChIJDcylWPsY6zkRjKurQ0OfFEo,27.7157191,85.30819079999999,Baneshwor,0.491,0.6328,0.2845,0.574,1
ChIJtRxQygcZ6zkRFKNUpuIFT90,27.7196274,85.31729419999999,Baneshwor,0.2148,0.38,0.465,0.2822,1
ChIJs5P-vhUZ6zkRT_CyBRGKUf0,27.727644,85.3305889,Baneshwor,0.0,0.2302,0.4213,0.0,1
ChIJ447Vr_UZ6zkRzKmVcRhGDgk,27.7390049,85.32407289999999,Baneshwor,0.0,0.1999,0.796,0.0,1
ChIJF0fVmDQZ6zkRFwpl8c3gw44,27.740924,85.3346347,Baneshwor,0.0,0.181,0.4728,0.0,1
ChIJF-frZQAZ6zkR2BasNHD8beU,27.6893391,85.330016,Baneshwor,0.3336,0.5156,0.4436,0.4906,1
ChIJ_8NuBpAZ6zkRuAzG1_mLELY,27.6990097,85.338376,Baneshwor,0.2842,0.3909,0.4712,0.4682,1
ChIJK0GDbAUZ6zkRvoTyCDhVE2Y,27.6929317,85.3382247,Baneshwor,0.3861,0.4217,0.4483,0.4797,1
ChIJvSeY-BAZ6zkRFhLOi1jaQwo,27.6806949,85.327915,Baneshwor,0.2507,0.379,0.5131,0.3171,1
ChIJ8Y6KDwAZ6zkRMaD3nLEftYw,27.6910921,85.3361445,Baneshwor,0.48,0.5823,0.4008,0.4164,1
ChIJS9exxOEZ6zkRG3MTA0cAJEA,27.6910577,85.3361455,Baneshwor,0.4819,0.581,0.3994,0.418,1
ChIJLe2P_VEZ6zkRHmAXqL7S-yI,27.6915196,85.3420486,Baneshwor,0.3563,0.3792,0.4566,0.5467,1
ChIJ1wqFCLwZ6zkRqz3ToWmujNM,27.7003804,85.3535084,Baneshwor,0.0592,0.3096,0.4893,0.1135,1
ChIJ1ZQQopkZ6zkRKYDCfMzej5U,27.6815663,85.3372326,Baneshwor,0.2838,0.5328,0.4758,0.5561,1
ChIJFz0ZOoAZ6zkROgkbw7Hi6XI,27.7062188,85.3399781,Baneshwor,0.1489,0.3197,0.494,0.3028,1
ChIJZ9MoZwAZ6zkR76a9yBi4QKk,27.7011851,85.3395438,Baneshwor,0.3204,0.4264,0.4771,0.4598,1
ChIJY5JHLKIZ6zkRtTX1XUH8tyI,27.6926688,85.3364787,Baneshwor,0.3878,0.4325,0.4242,0.4503,1
ChIJJ8czaioZ6zkRijqXnQ91FNM,27.7050625,85.3364375,Baneshwor,0.2118,0.4149,0.5195,0.4792,1
ChIJdW1tY0oZ6zkR4egLC9G8tW8,27.6878781,85.33621869999999,Baneshwor,0.4343,0.6162,0.3941,0.3855,1
ChIJBUUfcAAZ6zkR3lSVKKKy-WI,27.7143949,85.3101981,Baneshwor,0.5227,0.5657,0.243,0.5531,1
ChIJCalBPAAZ6zkRjhvkMafGOMY,27.6971102,85.35327869999999,Baneshwor,0.1297,0.3768,0.495,0.2315,1
ChIJ-w-JWBgZ6zkR-DgtvfJ1vdM,27.6973866,85.3319509,Baneshwor,0.229,0.4659,0.5015,0.5339,1
ChIJMcHvCrwZ6zkRO53jbK1xans,27.6896653,85.3292441,Baneshwor,0.3165,0.4843,0.4583,0.4783,1
ChIJcxRSdJoZ6zkRQUsyHlk02pc,27.690866,85.3408695,Baneshwor,0.3644,0.4242,0.434,0.471,1
