place_id,latitude,longitude,search_area,primary_type,searched_as,label,feasibility_score,feasibility_label,cluster,bank_count_500m,bank_count_500m_normalized,bank_count_500m_contribution,bus_stop_count_500m,bus_stop_count_500m_normalized,bus_stop_count_500m_contribution,cinema_count_500m,cinema_count_500m_normalized,cinema_count_500m_contribution,clinic_count_500m,clinic_count_500m_normalized,clinic_count_500m_contribution,college_count_500m,college_count_500m_normalized,college_count_500m_contribution,hospital_count_500m,hospital_count_500m_normalized,hospital_count_500m_contribution,museum_count_500m,museum_count_500m_normalized,museum_count_500m_contribution,office_count_500m,office_count_500m_normalized,office_count_500m_contribution,parking_space_count_500m,parking_space_count_500m_normalized,parking_space_count_500m_contribution,recreation_count_500m,recreation_count_500m_normalized,recreation_count_500m_contribution,retail_count_500m,retail_count_500m_normalized,retail_count_500m_contribution,school_count_500m,school_count_500m_normalized,school_count_500m_contribution,temple_count_500m,temple_count_500m_normalized,temple_count_500m_contribution,nearest_restaurant_m,nearest_restaurant_m_normalized,nearest_restaurant_m_contribution,competitor_count_500m,competitor_count_500m_normalized,competitor_count_500m_contribution,avg_restaurant_rating_500m,avg_restaurant_rating_500m_normalized,avg_restaurant_rating_500m_contribution,avg_review_ratings_500m,avg_review_ratings_500m_normalized,avg_review_ratings_500m_contribution
ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,Baneshwor,restaurant,restaurant,1,18.652333185671257,Moderate,0,26,0.2736842105263158,0.0188746590866647,1,0.0909090909090909,0.0078845505160641,0,0.0,0.0,44,0.5789473684210527,0.0266277701397997,22,0.34375,0.0238083404905546,9,0.2903225806451613,0.012063050261551,1,0.0277777777777777,0.0044604743813872,54,0.5242718446601942,0.0220525497525575,5,0.217391304347826,0.0161100174999882,21,0.2727272727272727,0.0096558378356184,52,0.3291139240506329,0.0079843198445594,35,0.5833333333333334,0.0171015391348681,15,0.1442307692307692,0.0100715742260549,66.35792047348987,0.0153774297775593,0.0008507937560138,20,0.8373983739837398,0.0064764343955202,4.265000000000001,0.1837499999999998,0.0021246263430974,87.7,0.9410204081632652,0.0003767941924124
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,Baneshwor,restaurant,restaurant,1,27.95401189025239,High,2,43,0.4526315789473684,0.0312157823356379,4,0.3636363636363636,0.0315382020642567,1,0.1428571428571428,0.025274029809325,46,0.6052631578947368,0.0278381233279725,37,0.578125,0.0400412999159327,13,0.4193548387096774,0.0174244059333515,1,0.0277777777777777,0.0044604743813872,66,0.6407766990291263,0.026953116364237,6,0.2608695652173913,0.0193320209999859,16,0.2077922077922078,0.0073568288271378,80,0.5063291139240507,0.0122835689916299,40,0.6666666666666666,0.019544616154135,13,0.125,0.0087286976625809,3.883478478190665,0.0008999365435946,4.979118117751507e-05,44,0.6422764227642277,0.0049673623033601,4.247727272727273,0.1880681818181817,0.0021745557191257,159.47727272727272,0.8921923314780458,0.0003572429312898
ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,Baneshwor,restaurant,restaurant,1,37.66588510121991,High,2,57,0.6,0.0413790603053805,6,0.5454545454545454,0.047307303096385,3,0.4285714285714285,0.0758220894279752,65,0.8552631578947368,0.0393364786156133,49,0.765625,0.0530276674562352,12,0.3870967741935484,0.0160840670154014,1,0.0277777777777777,0.0044604743813872,68,0.6601941747572816,0.0277698774661836,9,0.391304347826087,0.0289980314999789,15,0.1948051948051948,0.0068970270254417,66,0.4177215189873418,0.0101339444180946,28,0.4666666666666667,0.0136812313078945,6,0.0576923076923076,0.0040286296904219,35.02215743259268,0.0081158475542263,0.0004490290330554,48,0.6097560975609756,0.0047158502880001,4.23125,0.1921874999999999,0.0022221857159947,201.10416666666663,0.8638747165532881,0.0003459042687549
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,Baneshwor,restaurant,restaurant,1,12.152369256517154,Low,1,5,0.0526315789473684,0.0036297421320509,0,0.0,0.0,0,0.0,0.0,23,0.3026315789473684,0.0139190616639862,6,0.09375,0.0064931837701512,4,0.1290322580645161,0.0053613556718004,0,0.0,0.0,66,0.6407766990291263,0.026953116364237,4,0.1739130434782608,0.0128880139999906,26,0.3376623376623376,0.011954846844099,78,0.4936708860759494,0.0119764797668391,16,0.2666666666666666,0.007817846461654,17,0.1634615384615384,0.0114144507895289,5.217717490207539,0.001209125960131,6.689783871521632e-05,14,0.8861788617886179,0.0068537024185602,4.371428571428572,0.157142857142857,0.001816978796818,83.21428571428571,0.9440719144800775,0.0003780160467402
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,Baneshwor,restaurant,restaurant,1,37.3048103160793,High,2,55,0.5789473684210527,0.0399271634525601,6,0.5454545454545454,0.047307303096385,3,0.4285714285714285,0.0758220894279752,66,0.868421052631579,0.0399416552096996,46,0.71875,0.0497810755711596,11,0.3548387096774194,0.0147437280974512,1,0.0277777777777777,0.0044604743813872,65,0.6310679611650486,0.0265447358132637,10,0.4347826086956521,0.0322200349999765,15,0.1948051948051948,0.0068970270254417,64,0.4050632911392405,0.0098268551933039,27,0.45,0.0131926159040411,7,0.0673076923076923,0.0047000679721589,35.02215743259268,0.0081158475542263,0.0004490290330554,47,0.6178861788617886,0.0047787282918401,4.270212765957447,0.1824468085106383,0.0021095580711605,200.89361702127653,0.8640179476045738,0.0003459616199322
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,Baneshwor,barbecue_restaurant,restaurant,1,35.72867058288012,High,2,51,0.5368421052631579,0.0370233697469194,6,0.5454545454545454,0.047307303096385,2,0.2857142857142857,0.0505480596186501,60,0.7894736842105263,0.0363105956451815,44,0.6875,0.0476166809811092,15,0.4838709677419355,0.0201050837692517,1,0.0277777777777777,0.0044604743813872,76,0.7378640776699029,0.0310369218739699,11,0.4782608695652174,0.0354420384999742,14,0.1818181818181818,0.0064372252237456,91,0.5759493670886076,0.013972559727979,27,0.45,0.0131926159040411,9,0.0865384615384615,0.0060429445356329,8.056989879533248,0.0018670837664439,0.0001033009568844,40,0.6747967479674797,0.0052188743187201,4.2675,0.1831249999999999,0.0021173997228828,181.45,0.8772448979591836,0.0003512578260864
ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,Baneshwor,restaurant,restaurant,1,18.810711122977477,Moderate,0,20,0.2105263157894736,0.0145189685282036,2,0.1818181818181818,0.0157691010321283,0,0.0,0.0,31,0.4078947368421052,0.0187604744166771,24,0.375,0.025972735080605,4,0.1290322580645161,0.0053613556718004,1,0.0277777777777777,0.0044604743813872,72,0.6990291262135923,0.0294033996700767,10,0.4347826086956521,0.0322200349999765,13,0.1688311688311688,0.0059774234220495,67,0.4240506329113924,0.01028748903049,21,0.35,0.0102609234809209,10,0.0961538461538461,0.0067143828173699,11.652110409892927,0.0027001977806112,0.0001493950188671,22,0.8211382113821138,0.0063506783878402,4.477272727272728,0.1306818181818179,0.001511020590329,41.95454545454545,0.9721397649969078,0.0003892547010526
ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,Baneshwor,restaurant,restaurant,1,25.0626766454485,Moderate,0,21,0.2210526315789473,0.0152449169546138,5,0.4545454545454545,0.0394227525803209,0,0.0,0.0,41,0.5394736842105263,0.0248122403575407,37,0.578125,0.0400412999159327,20,0.6451612903225806,0.0268067783590023,0,0.0,0.0,81,0.7864077669902912,0.0330788246288363,6,0.2608695652173913,0.0193320209999859,21,0.2727272727272727,0.0096558378356184,104,0.6582278481012658,0.0159686396891188,18,0.3,0.0087950772693607,13,0.125,0.0087286976625809,29.7023843691526,0.0068830717810874,0.0003808227108336,27,0.7804878048780488,0.0060362883686401,4.330769230769231,0.1673076923076921,0.0019345106420667,46.34615384615385,0.9691522762951336,0.0003880584800323
ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,Baneshwor,restaurant,restaurant,1,16.94076617553565,Moderate,0,12,0.1263157894736842,0.0087113811169222,2,0.1818181818181818,0.0157691010321283,1,0.1428571428571428,0.025274029809325,14,0.1842105263157894,0.008472472317209,11,0.171875,0.0119041702452773,5,0.1612903225806451,0.0067016945897505,2,0.0555555555555555,0.0089209487627745,46,0.4466019417475728,0.0187855053447712,8,0.3478260869565217,0.0257760279999812,14,0.1818181818181818,0.0064372252237456,55,0.3481012658227848,0.0084449536817455,18,0.3,0.0087950772693607,8,0.0769230769230769,0.0053715062538959,93.54178884698324,0.0216768741244148,0.0011993258575541,12,0.902439024390244,0.0069794584262402,4.491666666666666,0.1270833333333334,0.0014694127769721,19.5,0.9874149659863946,0.0003953710477023
ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,Baneshwor,restaurant,restaurant,1,22.423862658025328,Moderate,0,32,0.3368421052631579,0.0232303496451259,0,0.0,0.0,1,0.1428571428571428,0.025274029809325,41,0.5394736842105263,0.0248122403575407,33,0.515625,0.0357125107358319,12,0.3870967741935484,0.0160840670154014,1,0.0277777777777777,0.0044604743813872,68,0.6601941747572816,0.0277698774661836,3,0.1304347826086956,0.0096660104999929,18,0.2337662337662337,0.0082764324305301,71,0.4493670886075949,0.0109016674800715,41,0.6833333333333333,0.0200332315579884,12,0.1153846153846153,0.0080572593808439,134.34933086730928,0.0311333957775166,0.001722530950502,32,0.7398373983739838,0.0057218983494401,4.2548387096774185,0.1862903225806453,0.0021539990575181,141.83870967741936,0.9041913539609392,0.0003620474625698
