bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,restaurant_name,primary_type,searched_as
14,3,1,11,8,4,0,47,8,8,49,10,5,13,4.546153846153846,34.0,279.05111346011574,BG_00102,27.69828593882052,85.32612451538316,Baneshwor,,,
18,1,0,35,26,11,1,65,2,17,68,38,15,22,4.271428571428571,103.0952380952381,153.38443890343189,BG_00103,27.694890019254576,85.34167410726795,Baneshwor,,,
22,1,0,31,34,8,1,69,3,13,69,42,8,28,4.285714285714286,97.07142857142857,90.33360130461928,BG_00104,27.695654571309273,85.33982961550791,Baneshwor,,,
9,3,0,33,9,12,1,54,3,17,74,25,15,10,4.377777777777778,78.55555555555556,213.5412714393113,BG_00105,27.69651206785841,85.34767737928323,Baneshwor,,,
31,1,0,42,21,10,0,65,6,23,61,26,14,20,4.355,94.65,136.32182936254156,BG_00106,27.701734316427828,85.33747803524453,Baneshwor,,,
10,1,0,31,20,4,0,59,2,16,63,34,11,12,4.275000000000001,73.58333333333333,153.75392436027627,BG_00107,27.69608290095259,85.34264678873447,Baneshwor,,,
24,1,2,25,28,9,2,65,15,17,64,33,10,32,4.375,90.1875,90.23234313607519,BG_00108,27.695114768061742,85.33266482648757,Baneshwor,,,
19,3,0,15,15,4,1,52,10,11,57,8,7,15,4.406666666666666,47.666666666666664,84.64848665378128,BG_00109,27.692773181903313,85.32579836067,Baneshwor,,,
19,1,0,25,19,7,2,59,6,25,56,34,13,20,4.3149999999999995,107.8,169.02986705255142,BG_00110,27.699095259757456,85.33489549935985,Baneshwor,,,
4,3,0,26,3,15,1,44,3,10,34,8,9,13,4.375000000000001,124.0,153.83909230627535,BG_00111,27.69822383328219,85.35120138009913,Baneshwor,,,
7,0,0,24,13,6,0,47,5,12,48,24,14,9,4.0777777777777775,67.11111111111111,242.70340010229071,BG_00112,27.700722643190613,85.34613645867945,Baneshwor,,,
10,2,1,14,10,7,2,49,8,14,59,28,9,10,4.59,24.3,168.32081352908062,BG_00113,27.699169952949873,85.3305999092867,Baneshwor,,,
11,3,0,31,8,13,1,48,3,14,65,20,15,9,4.275,84.875,76.13578310010728,BG_00114,27.697952414691027,85.34817620683334,Baneshwor,,,
11,0,0,9,9,7,0,25,1,6,21,5,8,5,4.3,238.0,131.98376444334866,BG_00115,27.706779745546932,85.34115870311464,Baneshwor,,,
17,2,0,23,15,9,2,44,6,20,57,25,15,8,4.5,73.5,62.17343664858769,BG_00116,27.702820898472673,85.33385087980847,Baneshwor,,,
19,5,1,16,23,8,1,66,5,8,80,32,15,14,4.6230769230769235,44.53846153846154,110.43945413595205,BG_00117,27.701224156415208,85.32668219301375,Baneshwor,,,
10,3,0,35,9,10,1,48,2,13,84,24,12,14,4.375,66.75,230.87113463762086,BG_00118,27.69418549834228,85.34798631804651,Baneshwor,,,
9,0,0,30,14,7,0,51,5,13,49,25,14,9,4.0777777777777775,67.11111111111111,157.63735234050486,BG_00119,27.700195794293794,85.34540620782143,Baneshwor,,,
26,1,0,32,26,12,1,67,3,18,70,29,9,22,4.3,122.33333333333333,108.68475753084724,BG_00120,27.684121225387543,85.3471126055546,Baneshwor,,,
11,3,0,33,7,12,2,51,3,13,82,21,11,12,4.34,60.2,275.8792464591998,BG_00121,27.69417688079882,85.34887671360717,Baneshwor,,,
21,3,0,15,16,3,1,48,13,10,46,10,6,16,4.425,46.0625,68.02046358021828,BG_00122,27.69335636626859,85.3269372648519,Baneshwor,,,
18,4,1,26,14,9,3,61,2,17,68,29,9,9,4.277777777777778,113.88888888888889,302.9487930157097,BG_00123,27.700663302805566,85.33291056522123,Baneshwor,,,
12,3,1,11,8,5,1,50,7,11,41,10,5,14,4.499999999999999,25.571428571428573,172.0396665666749,BG_00124,27.697924748118357,85.32735064376544,Baneshwor,,,
23,5,1,38,34,14,0,59,8,27,72,19,12,36,4.341666666666667,145.08333333333334,104.71570936847996,BG_00125,27.685180572139554,85.33943711778736,Baneshwor,,,
36,2,1,45,32,13,1,66,3,15,85,41,12,35,4.235294117647059,145.73529411764707,79.75531131828173,BG_00126,27.692302525576,85.3386174280759,Baneshwor,,,
12,2,0,22,8,6,1,23,4,15,40,12,13,7,4.514285714285714,58.714285714285715,129.82892124668237,BG_00127,27.706227338434296,85.3362955994263,Baneshwor,,,
23,4,0,25,21,10,2,54,6,17,67,27,21,6,4.7,33.333333333333336,127.90362989493107,BG_00128,27.70539124632812,85.33087250515032,Baneshwor,,,
23,1,0,40,22,10,1,57,5,21,54,34,13,24,4.241666666666667,111.375,58.65729495520918,BG_00129,27.699026718560397,85.33757214304141,Baneshwor,,,
