place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population
BG_00056,27.68453792363384,85.341538152983,Baneshwor,0.3148,0.5605,0.4543,0.4271
BG_00057,27.694001491738018,85.34576436717866,Baneshwor,0.2345,0.3632,0.5155,0.5818
BG_00058,27.69622689756248,85.33657879771017,Baneshwor,0.2995,0.3806,0.4425,0.494
BG_00059,27.68993417819533,85.32877601529677,Baneshwor,0.3038,0.493,0.4617,0.4756
BG_00060,27.69393782877257,85.35142923376114,Baneshwor,0.1769,0.4171,0.541,0.4182
BG_00061,27.69208283540416,85.33437382989531,Baneshwor,0.4316,0.4657,0.3927,0.4571
BG_00062,27.698378249730503,85.33102044840294,Baneshwor,0.226,0.4297,0.5146,0.5497
BG_00063,27.690323459310623,85.34453624828076,Baneshwor,0.3357,0.3771,0.4405,0.539
BG_00064,27.694024254342803,85.32500719072137,Baneshwor,0.14,0.4649,0.5213,0.2249
BG_00065,27.7016016409486,85.34480541780201,Baneshwor,0.2335,0.3682,0.5347,0.4578
BG_00066,27.69861426758185,85.34861887649235,Baneshwor,0.2049,0.4118,0.4971,0.4303
BG_00067,27.70223364322437,85.34013608288159,Baneshwor,0.2991,0.4118,0.4785,0.4708
BG_00068,27.695476065345343,85.35099523028312,Baneshwor,0.2054,0.4236,0.5121,0.418
BG_00069,27.695488871956265,85.33140766202182,Baneshwor,0.246,0.4731,0.4939,0.5156
BG_00070,27.692415471704724,85.33588264259201,Baneshwor,0.4084,0.4607,0.3997,0.4428
BG_00071,27.6973134195447,85.3348043619702,Baneshwor,0.2919,0.3529,0.4671,0.5035
BG_00072,27.699341380385576,85.32595514285626,Baneshwor,0.2021,0.4355,0.5317,0.3752
BG_00073,27.691747693792387,85.34741230345918,Baneshwor,0.2593,0.3445,0.4962,0.5897
BG_00074,27.68852551081797,85.33753768297073,Baneshwor,0.4348,0.6051,0.3769,0.405
BG_00075,27.69140192610043,85.32700585687847,Baneshwor,0.2344,0.4814,0.5125,0.4026
BG_00076,27.699103373740964,85.33602383518381,Baneshwor,0.2861,0.4197,0.4597,0.5021
BG_00077,27.702973034365066,85.33819334190032,Baneshwor,0.2771,0.4125,0.5063,0.511
BG_00078,27.70134492010704,85.33298754844098,Baneshwor,0.2762,0.4442,0.5343,0.658
BG_00079,27.69002478840325,85.34446441604071,Baneshwor,0.3456,0.3878,0.4353,0.5295
BG_00080,27.69183378457293,85.32554502675555,Baneshwor,0.1981,0.4811,0.5147,0.3643
BG_00081,27.685822265376142,85.33706192354738,Baneshwor,0.3429,0.6225,0.4126,0.4291
BG_00082,27.691751372698832,85.33362297447415,Baneshwor,0.418,0.4844,0.3908,0.4722
BG_00083,27.706546703481305,85.33263409032743,Baneshwor,0.2298,0.4304,0.4988,0.5406
BG_00084,27.70685274536409,85.33797017869638,Baneshwor,0.1286,0.3051,0.5283,0.3159
BG_00085,27.70406082814015,85.33162978842878,Baneshwor,0.2636,0.4779,0.516,0.6663
BG_00086,27.69979605007161,85.34168184849811,Baneshwor,0.2908,0.3897,0.4807,0.4926
BG_00087,27.684622992698177,85.34806256361131,Baneshwor,0.2927,0.4092,0.4655,0.3047
BG_00088,27.705611788345625,85.33441962501252,Baneshwor,0.2005,0.4161,0.5265,0.5377
BG_00089,27.689497806136487,85.32551955728538,Baneshwor,0.2341,0.454,0.5175,0.3869
BG_00090,27.685231939205487,85.34016988776142,Baneshwor,0.2993,0.5522,0.4469,0.4169
BG_00091,27.687076415422545,85.3391580773701,Baneshwor,0.3822,0.6516,0.4108,0.4048
BG_00092,27.695699006011548,85.3230641041855,Baneshwor,0.0677,0.325,0.5215,0.1073
BG_00093,27.69377867117095,85.34764516516647,Baneshwor,0.2321,0.4121,0.5207,0.5811
BG_00094,27.68815273264142,85.34694017904496,Baneshwor,0.3457,0.3973,0.4499,0.451
BG_00095,27.688444895220204,85.3389598257451,Baneshwor,0.453,0.611,0.3891,0.4016
BG_00096,27.70552996569476,85.34278124710153,Baneshwor,0.1288,0.3021,0.4906,0.2975
BG_00097,27.689323614871448,85.32520225556608,Baneshwor,0.231,0.3855,0.518,0.3814
BG_00098,27.700942426155912,85.34762086870518,Baneshwor,0.1646,0.3451,0.5389,0.403
BG_00099,27.686598022578604,85.33176488471565,Baneshwor,0.4069,0.5204,0.4308,0.4731
BG_00100,27.691130082597084,85.34899798466786,Baneshwor,0.2153,0.3412,0.5421,0.5087
BG_00101,27.69299372349185,85.32580789216887,Baneshwor,0.1848,0.4785,0.4949,0.3218
BG_00102,27.69828593882052,85.32612451538316,Baneshwor,0.1722,0.4199,0.5422,0.3073
BG_00103,27.694890019254576,85.34167410726795,Baneshwor,0.3046,0.3828,0.49,0.5279
BG_00104,27.69565457130928,85.33982961550791,Baneshwor,0.3074,0.4,0.4622,0.4999
BG_00105,27.69651206785841,85.34767737928323,Baneshwor,0.2561,0.4443,0.5312,0.542
BG_00106,27.701734316427828,85.33747803524453,Baneshwor,0.3095,0.4265,0.488,0.5138
BG_00107,27.69608290095259,85.34264678873447,Baneshwor,0.245,0.3748,0.5185,0.5092
BG_00108,27.695114768061742,85.33266482648757,Baneshwor,0.3203,0.4853,0.4504,0.5392
BG_00109,27.69277318190332,85.32579836067,Baneshwor,0.1951,0.4812,0.4944,0.3304
BG_00110,27.699095259757456,85.33489549935985,Baneshwor,0.2708,0.4109,0.495,0.5358
BG_00111,27.69822383328219,85.35120138009913,Baneshwor,0.1604,0.3998,0.4999,0.3211
BG_00112,27.700722643190613,85.34613645867945,Baneshwor,0.1937,0.3687,0.5581,0.469
BG_00113,27.69916995294988,85.3305999092867,Baneshwor,0.2234,0.4273,0.5218,0.5643
BG_00114,27.697952414691027,85.34817620683334,Baneshwor,0.2365,0.4454,0.5037,0.4812
BG_00115,27.70677974554693,85.34115870311464,Baneshwor,0.1096,0.2898,0.4901,0.2402
BG_00116,27.70282089847268,85.33385087980847,Baneshwor,0.2428,0.456,0.4938,0.6682
BG_00117,27.701224156415208,85.32668219301375,Baneshwor,0.2901,0.4591,0.4928,0.5003
BG_00118,27.69418549834228,85.34798631804651,Baneshwor,0.2536,0.4154,0.5294,0.5668
BG_00119,27.7001957942938,85.34540620782143,Baneshwor,0.2117,0.3844,0.5374,0.506
BG_00120,27.684121225387543,85.3471126055546,Baneshwor,0.3077,0.4232,0.4733,0.3516
BG_00121,27.69417688079882,85.34887671360717,Baneshwor,0.2539,0.4257,0.548,0.5543
BG_00122,27.69335636626859,85.3269372648519,Baneshwor,0.1835,0.5076,0.4876,0.3446
BG_00123,27.70066330280557,85.33291056522123,Baneshwor,0.2808,0.4426,0.5521,0.6352
BG_00124,27.69792474811836,85.32735064376544,Baneshwor,0.1702,0.4071,0.5182,0.3443
BG_00125,27.685180572139554,85.33943711778736,Baneshwor,0.3308,0.5965,0.4345,0.4219
BG_00126,27.692302525576,85.3386174280759,Baneshwor,0.3867,0.4036,0.4357,0.4737
BG_00127,27.706227338434296,85.3362955994263,Baneshwor,0.1634,0.3709,0.5151,0.411
BG_00128,27.70539124632812,85.33087250515032,Baneshwor,0.2845,0.4975,0.5132,0.6357
BG_00129,27.6990267185604,85.33757214304141,Baneshwor,0.2901,0.4123,0.4622,0.4765
BG_00130,27.69509604585354,85.32613220630554,Baneshwor,0.1507,0.4274,0.5072,0.2359
BG_00131,27.70497499407715,85.33891184770462,Baneshwor,0.2097,0.3602,0.5105,0.4255
BG_00132,27.700187179305903,85.3333670206676,Baneshwor,0.2784,0.4441,0.5524,0.6068
BG_00133,27.6894378310895,85.34863613293466,Baneshwor,0.2325,0.3569,0.4861,0.4446
BG_00134,27.69757557361569,85.34969465952511,Baneshwor,0.1904,0.423,0.4923,0.4296
BG_00135,27.696699763952424,85.32440667711414,Baneshwor,0.1205,0.3894,0.5492,0.1494
BG_00136,27.68963164691993,85.33625148623732,Baneshwor,0.4408,0.5999,0.3834,0.4039
BG_00137,27.704564534761538,85.34574270378859,Baneshwor,0.1095,0.276,0.5221,0.2784
BG_00138,27.69594834180513,85.34432669549597,Baneshwor,0.2586,0.3971,0.5069,0.5372
BG_00139,27.695981174839943,85.33925006017503,Baneshwor,0.3007,0.3824,0.4561,0.4922
BG_00140,27.68915578740699,85.34733970033928,Baneshwor,0.2974,0.3627,0.4893,0.4805
BG_00141,27.694550074082755,85.34661853883148,Baneshwor,0.2524,0.4178,0.5326,0.5717
BG_00142,27.705438579426595,85.34244234395736,Baneshwor,0.1378,0.31,0.4823,0.3136
BG_00143,27.69649695073819,85.35075234191098,Baneshwor,0.2007,0.4287,0.5001,0.4055
BG_00144,27.698920920612085,85.34388309286388,Baneshwor,0.2634,0.4113,0.522,0.5033
