bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as
38,1,1,39,29,11,1,72,3,20,78,39,9,32,4.303125,141.0,6.535581154544098,ChIJJ1tlf5cZ6zkRjxlM37tu2rk,27.6940315,85.3371116,Baneshwor,restaurant,restaurant
6,1,0,17,6,6,0,63,5,29,76,20,21,12,4.300000000000001,81.16666666666667,165.79846293770512,ChIJP_9K8NEZ6zkRKj3W_5jAo0M,27.6800704,85.3371945,Baneshwor,asian_restaurant,restaurant
27,4,0,46,30,18,1,68,4,20,124,23,11,27,4.381481481481481,185.88888888888889,29.314647062012945,ChIJixQtaUwZ6zkR-BqhRxf1xFM,27.6869306,85.3424996,Baneshwor,restaurant,restaurant
8,0,0,24,16,8,1,79,3,23,70,17,8,7,4.371428571428572,48.285714285714285,12.984653889830769,ChIJq5FbP40Z6zkRpEiV5GpUpL8,27.6868447,85.3256208,Baneshwor,restaurant,restaurant
41,5,2,47,40,15,1,75,10,14,75,26,12,38,4.2552631578947375,202.97368421052633,33.91870879559938,ChIJxz8dQOcZ6zkRQxLLUGobKUw,27.6854259,85.3349757,Baneshwor,restaurant,restaurant
58,6,3,57,50,11,0,72,8,15,67,33,5,48,4.191666666666666,209.625,100.4785571941864,ChIJFQGfV5sZ6zkRf8rRCgxhi-c,27.6906284,85.3352482,Baneshwor,restaurant,restaurant
27,4,1,28,37,13,0,65,8,21,73,21,14,29,4.272413793103448,195.17241379310346,210.13367224761276,ChIJ84LtBAAZ6zkRbnVknpuSqYM,27.6846901,85.337786,Baneshwor,restaurant,restaurant
24,1,0,38,18,8,1,55,6,21,53,31,14,20,4.345,109.0,48.869742153562704,ChIJmUHonR8Z6zkRx3HbHlleX7g,27.6995768,85.33652169999999,Baneshwor,restaurant,restaurant
21,4,1,15,14,4,1,64,12,13,50,15,8,16,4.3999999999999995,26.75,12.829120883259053,ChIJIcwzDAAZ6zkR4qMn_fMN16Q,27.695612,85.32829869999999,Baneshwor,asian_restaurant,restaurant
3,2,0,28,5,13,1,43,4,14,39,17,14,8,4.485714285714286,73.0,18.415831735983883,ChIJGx1e6owZ6zkR8FuYpBS2aOA,27.6980786,85.3491212,Baneshwor,korean_restaurant,restaurant
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.1,632.0,341.20794058377186,ChIJ69vuJ74Z6zkRiTZeLqrumw8,27.7341736,85.33665549999999,Baneshwor,restaurant,restaurant
22,0,0,37,24,6,0,52,6,14,47,26,18,10,4.23,76.2,41.71435876336747,ChIJnVTxHmAZ6zkR-J6rSHk_OyM,27.7002692,85.34359180000001,Baneshwor,restaurant,restaurant
56,7,3,58,49,14,0,67,10,16,54,23,9,47,4.23404255319149,205.51063829787233,20.519931978361463,ChIJNRn59m8Z6zkRdLZdLLpVIlA,27.6894581,85.3355299,Baneshwor,restaurant,restaurant
41,4,2,45,41,14,1,77,9,15,87,27,11,37,4.237837837837837,204.1891891891892,37.45120459999406,ChIJtVigIL0Z6zkRLhtLmzxH7Hk,27.6852355,85.334662,Baneshwor,restaurant,restaurant
11,1,0,27,17,7,1,72,3,23,69,21,9,8,4.4375,80.375,126.96957956014822,ChIJH1SPMVEZ6zkR7SKZCLi10_4,27.6879494,85.32596269999999,Baneshwor,restaurant,restaurant
40,1,1,45,33,12,1,70,4,19,84,37,11,34,4.252941176470589,146.52941176470588,78.42580091932302,ChIJ3zGpcqAZ6zkRfXtUbQlekVk,27.6935367,85.3364476,Baneshwor,cafe,cafe
21,2,0,5,34,8,1,60,6,15,87,32,7,11,4.370000000000001,43.3,92.993988133659,ChIJofB7NS8Z6zkRJzYYsmaQBIc,27.7009425,85.3219325,Baneshwor,coffee_shop,cafe
20,0,0,32,30,7,1,66,3,16,63,45,11,32,4.2875,84.03125,71.96278731241142,ChIJIclnu_0Z6zkRKyqK4PUal9Y,27.6969025,85.3380937,Baneshwor,cafe,cafe
47,3,2,57,33,7,0,56,13,15,60,32,9,41,4.346341463414634,210.3658536585366,124.30071718087035,ChIJEafrAgAZ6zkRihhNtq0fz-8,27.6918694,85.3325917,Baneshwor,restaurant,cafe
57,6,3,64,49,13,1,66,10,15,67,28,7,48,4.247916666666667,174.29166666666666,35.63580095412116,ChIJNyFJApYZ6zkR9kxSVuP23DQ,27.6887822,85.33446970000001,Baneshwor,cafe,cafe
10,1,0,32,14,7,0,62,3,9,73,31,17,8,4.3375,45.125,177.7932885305962,ChIJX0WHr8wZ6zkRMN4234uf49E,27.6966809,85.3440535,Baneshwor,restaurant,cafe
30,0,1,35,28,9,1,72,4,19,73,39,9,32,4.293749999999999,129.5625,6.539290176041434,ChIJMXZlpioZ6zkRh1zg5gv0Rj4,27.694798700000003,85.3374121,Baneshwor,cafe,cafe
12,1,0,30,16,11,0,55,2,12,103,36,16,14,4.466666666666667,55.666666666666664,191.0161862545182,ChIJLU0kIwAZ6zkRqZKrTH2wZfY,27.6933889,85.34457019999999,Baneshwor,cafe,cafe
54,6,3,57,47,14,1,73,10,13,71,26,10,45,4.282222222222222,219.64444444444445,17.983819957746945,ChIJB0VsQ7EZ6zkR5aGw77DLAE4,27.6880675,85.3353082,Baneshwor,cafe,cafe
5,0,0,21,8,4,0,63,4,26,83,16,17,14,4.314285714285715,98.28571428571429,34.43594874487929,ChIJZ61001MZ6zkRWgRozGP-P1U,27.6810841,85.3415199,Baneshwor,cafeteria,cafe
9,0,0,5,13,4,0,16,3,18,28,8,11,4,4.35,50.0,72.23343732885046,ChIJaeS5UQAZ6zkRw2nI0x_Uo_I,27.7097143,85.33273570000001,Baneshwor,coffee_shop,cafe
58,7,3,59,47,15,0,69,10,16,55,25,8,47,4.242553191489361,192.53191489361703,20.519931978361463,ChIJNanyFJYZ6zkR5ppk9lwCM5g,27.6896422,85.3355524,Baneshwor,cafe,cafe
29,3,1,41,26,10,0,68,1,14,100,31,13,31,4.2733333333333325,228.9,92.2181154579304,ChIJ49I7hkkZ6zkRTIqKfjLUhkw,27.691605,85.3404395,Baneshwor,coffee_shop,cafe
58,6,3,62,51,10,0,63,10,15,52,31,6,49,4.251020408163265,198.91836734693877,100.32213043910767,ChIJZw_ydsoZ6zkRtv-xQ2p4o9E,27.6899375,85.3345625,Baneshwor,cafe,cafe
25,1,0,40,25,11,1,79,3,21,104,29,12,29,4.358620689655172,91.55172413793103,37.73949070350577,ChIJW5HHZ9AZ6zkR7wkycFFGihg,27.6861919,85.34616749999999,Baneshwor,restaurant,cafe
2,0,0,0,0,0,0,2,0,1,2,3,1,2,4.7,64.0,214.82713771958424,ChIJFxgXYgIZ6zkRBb2qR1iHwMA,27.728179800000003,85.3248121,Baneshwor,coffee_shop,cafe
39,4,0,15,53,9,1,73,8,12,77,50,15,18,4.376470588235295,57.11764705882353,96.36600751106936,ChIJOQNaJ7gZ6zkR4rlyKQ_H06I,27.7033013,85.3233925,Baneshwor,cafe,cafe
3,2,0,5,1,2,0,9,1,3,21,5,1,19,4.610526315789474,51.73684210526316,36.96285493125461,ChIJKTz-fgAb6zkRbznc_j12GTM,27.6895644,85.3652216,Baneshwor,coffee_shop,cafe
18,2,0,22,10,6,1,34,5,18,47,17,12,6,4.65,46.0,163.80394505318725,ChIJ62WTAAAZ6zkRFJ91CkCu-bo,27.7071433,85.33315669999999,Baneshwor,cafe,cafe
8,0,0,22,13,9,1,80,3,22,68,16,9,6,4.266666666666667,114.66666666666667,16.79613835481497,ChIJGebFEQAZ6zkRPskjC00KQqQ,27.6868742,85.3253409,Baneshwor,fast_food_restaurant,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2,544.0,157.74640403085849,ChIJ41bsJQAZ6zkRAd5BMFtLDvc,27.7142514,85.2874633,Baneshwor,coffee_shop,cafe
0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.2,162.0,387.66003897008034,ChIJS0t1dIAZ6zkRy8TFUVDQ_MM,27.7181981,85.33641159999999,Baneshwor,cafe,cafe
16,1,0,38,11,10,2,24,11,18,65,16,2,102,4.443564356435644,161.55445544554456,1.1415311887911639,ChIJZVS-1hgb6zkRRm4q19XoBzU,27.7197654,85.3614903,Baneshwor,coffee_shop,cafe
19,0,1,31,28,7,1,60,4,19,65,40,10,32,4.25625,117.3125,71.96278731241142,ChIJDfvwr5kZ6zkRS4kH4AKIL7I,27.6965139,85.33750909999999,Baneshwor,fast_food_restaurant,cafe
52,5,2,23,53,8,5,83,13,22,68,54,23,22,4.166666666666666,80.71428571428571,18.42670762390713,ChIJi2vXvwcZ6zkRgZcAu3CVx5U,27.7068936,85.32251749999999,Baneshwor,coffee_shop,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.25,1471.0,18.261943286313972,ChIJm9z2YgIZ6zkRl_xLnL_RYdU,27.7277942,85.33443899999999,Baneshwor,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.75,68.5,366.6869830014635,ChIJ7fFdzTEZ6zkRRKVC8khx_kc,27.7336627,85.3175128,Baneshwor,coffee_shop,cafe
33,3,2,21,16,11,1,43,2,12,35,37,10,14,4.499999999999999,20.153846153846153,35.323756304801655,ChIJMagavIsZ6zkRuULwnOp4hQQ,27.7182567,85.3491572,Baneshwor,cafe,cafe
1,0,0,3,0,1,0,12,0,0,5,2,2,3,4.233333333333333,529.0,460.74167395850424,ChIJJxdGNcAZ6zkRaLWeXojyguI,27.7232147,85.33091569999999,Baneshwor,coffee_shop,cafe
41,0,0,35,14,9,22,54,15,53,113,30,43,92,4.5260869565217385,291.44565217391306,2.282415017575345,ChIJ2-DCD_wY6zkRSuuvB-s0OxE,27.7116266,85.3089788,Baneshwor,restaurant,cafe
37,3,2,43,40,14,1,84,9,17,90,27,14,33,4.233333333333333,204.87878787878788,80.13856784005122,ChIJ81syaCAZ6zkRnio87hfzZyY,27.684552600000004,85.3343945,Baneshwor,korean_barbecue_restaurant,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.371428571428572,95.71428571428571,35.30836954061683,ChIJCSnn8IEb6zkREiPjK4H-PZg,27.6942609,85.3665262,Baneshwor,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.466666666666668,513.3333333333334,77.03731628325697,ChIJZ5G_fEcZ6zkRjAar8lAW58s,27.7373953,85.3344606,Baneshwor,cafe,cafe
51,5,1,39,17,11,14,78,16,64,75,32,36,93,4.595698924731183,287.93548387096774,38.75146081690002,ChIJDcylWPsY6zkRjKurQ0OfFEo,27.7157191,85.30819079999999,Baneshwor,coffee_shop,cafe
12,3,1,12,14,6,2,52,2,21,60,8,9,19,4.336842105263157,202.57894736842104,84.93599872118898,ChIJtRxQygcZ6zkRFKNUpuIFT90,27.7196274,85.31729419999999,Baneshwor,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.466666666666666,707.0,362.19565591022985,ChIJs5P-vhUZ6zkRT_CyBRGKUf0,27.727644,85.3305889,Baneshwor,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,797.4916659702418,ChIJ447Vr_UZ6zkRzKmVcRhGDgk,27.7390049,85.32407289999999,Baneshwor,coffee_shop,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.333333333333333,427.0,313.60700629364,ChIJF0fVmDQZ6zkRFwpl8c3gw44,27.740924,85.3346347,Baneshwor,coffee_shop,cafe
27,2,1,45,33,10,2,65,12,14,72,25,7,25,4.348,228.24,10.130246215754289,ChIJF-frZQAZ6zkR2BasNHD8beU,27.6893391,85.330016,Baneshwor,restaurant,bar
24,0,0,45,23,8,1,61,4,17,47,31,13,24,4.2250000000000005,113.375,7.858977000396782,ChIJ_8NuBpAZ6zkRuAzG1_mLELY,27.6990097,85.338376,Baneshwor,sports_bar,bar
36,2,1,46,37,14,1,63,3,16,73,40,12,35,4.276470588235294,148.44117647058823,146.21752131791212,ChIJK0GDbAUZ6zkRvoTyCDhVE2Y,27.6929317,85.3382247,Baneshwor,bar,bar
7,0,0,14,8,8,1,66,3,20,78,16,39,7,4.528571428571429,28.142857142857142,148.04601407108015,ChIJvSeY-BAZ6zkRFhLOi1jaQwo,27.6806949,85.327915,Baneshwor,bar,bar
58,7,3,59,48,13,1,79,8,16,80,39,9,50,4.246,208.6,3.813036163652173,ChIJ8Y6KDwAZ6zkRMaD3nLEftYw,27.6910921,85.3361445,Baneshwor,lounge_bar,bar
58,7,3,59,47,13,1,78,8,16,79,40,9,52,4.221153846153846,200.76923076923077,3.813036163652173,ChIJS9exxOEZ6zkRG3MTA0cAJEA,27.6910577,85.3361455,Baneshwor,bar_and_grill,bar
16,2,0,34,27,9,0,73,0,11,129,31,14,27,4.361538461538461,166.84615384615384,137.00605985195176,ChIJLe2P_VEZ6zkRHmAXqL7S-yI,27.6915196,85.3420486,Baneshwor,bar,bar
2,2,0,11,1,7,1,17,1,3,4,3,4,6,4.616666666666666,139.0,102.18778809537727,ChIJ1wqFCLwZ6zkRqz3ToWmujNM,27.7003804,85.3535084,Baneshwor,bar,bar
10,1,0,27,10,6,0,76,4,25,94,20,20,19,4.363157894736841,105.0,7.445962300711522,ChIJ1ZQQopkZ6zkRKYDCfMzej5U,27.6815663,85.3372326,Baneshwor,bar_and_grill,bar
11,0,0,16,9,11,0,29,2,6,38,6,10,5,4.340000000000001,241.4,211.53520718653272,ChIJFz0ZOoAZ6zkROgkbw7Hi6XI,27.7062188,85.3399781,Baneshwor,bar,bar
28,1,0,44,23,12,0,72,5,20,68,23,14,22,4.231818181818182,118.45454545454545,61.175419443601164,ChIJZ9MoZwAZ6zkR76a9yBi4QKk,27.7011851,85.3395438,Baneshwor,bar,bar
39,2,1,43,34,12,1,69,5,14,80,39,12,40,4.3225,172.85,17.9581435253839,ChIJY5JHLKIZ6zkRtTX1XUH8tyI,27.6926688,85.3364787,Baneshwor,bar,bar
17,2,0,27,13,9,1,37,5,17,43,18,13,6,4.45,64.66666666666667,261.7606353896466,ChIJJ8czaioZ6zkRijqXnQ91FNM,27.7050625,85.3364375,Baneshwor,cafe,bar
58,7,3,57,44,15,0,74,10,14,60,26,8,47,4.32127659574468,282.0,62.24377188360751,ChIJdW1tY0oZ6zkR4egLC9G8tW8,27.6878781,85.33621869999999,Baneshwor,bar,bar
53,2,2,22,17,9,22,67,17,75,99,26,41,112,4.556756756756756,304.9009009009009,6.026112767463857,ChIJBUUfcAAZ6zkR3lSVKKKy-WI,27.7143949,85.3101981,Baneshwor,bar,bar
3,3,0,20,3,13,2,36,2,7,24,7,5,10,4.2666666666666675,149.88888888888889,71.52120323406763,ChIJCalBPAAZ6zkRjhvkMafGOMY,27.6971102,85.35327869999999,Baneshwor,bar,bar
10,2,1,10,16,3,1,68,8,17,61,25,8,12,4.633333333333334,28.916666666666668,216.17698187494346,ChIJ-w-JWBgZ6zkR-DgtvfJ1vdM,27.6973866,85.3319509,Baneshwor,bar_and_grill,bar
25,2,1,44,27,9,1,73,9,13,67,24,8,26,4.426923076923077,131.8846153846154,84.28131652985458,ChIJMcHvCrwZ6zkRO53jbK1xans,27.6896653,85.3292441,Baneshwor,bar,bar
27,3,1,44,24,13,0,66,2,15,103,24,14,34,4.26875,207.25,30.014589222280915,ChIJcxRSdJoZ6zkRQUsyHlk02pc,27.690866,85.3408695,Baneshwor,cake_shop,bakery
21,0,0,24,27,8,2,69,4,21,63,38,7,30,4.216666666666666,135.5,203.81415226669375,ChIJd5KfJgAZ6zkRGHMApNkEWw4,27.6966476,85.3354481,Baneshwor,bakery,bakery
23,1,1,36,38,10,1,68,3,15,69,44,9,31,4.326666666666666,139.7,10.634449691848497,ChIJM5tgfeQZ6zkRz90Fjju5iTA,27.6948811,85.340119,Baneshwor,bakery,bakery
16,6,0,19,19,11,1,68,3,9,84,27,17,9,4.666666666666667,35.55555555555556,96.46016187677182,ChIJcbIZc5IZ6zkRU6PUzMVt3u8,27.7024375,85.32818750000001,Baneshwor,bakery,bakery
18,2,0,30,17,8,1,51,6,22,64,28,16,8,4.449999999999999,109.25,83.0880763367558,ChIJi7KCZTQZ6zkRVjEVGvl7pQA,27.7029421,85.3352675,Baneshwor,bakery,bakery
28,0,1,37,26,8,1,74,4,19,75,41,10,34,4.267647058823529,143.7058823529412,36.178260969997396,ChIJ8zicC3cZ6zkRNj6uCY331l4,27.6951398,85.337211,Baneshwor,bakery,bakery
28,1,0,42,18,10,1,61,6,23,48,33,13,21,4.271428571428571,95.23809523809524,48.869742153562704,ChIJ2-1vF7kZ6zkRu4EARcpsxeM,27.6995308,85.3370145,Baneshwor,cake_shop,bakery
9,0,0,27,18,12,1,56,1,12,103,28,15,20,4.522222222222222,46.166666666666664,1.6838435226309278,ChIJqa7hxcgZ6zkR4Qf-dxqy8iI,27.6909073,85.3455319,Baneshwor,bakery,bakery
25,4,0,44,42,21,1,76,4,17,108,20,13,28,4.37037037037037,178.66666666666666,14.1470406334609,ChIJK3krIgAZ6zkRQYFA_LutE6M,27.687795,85.3416098,Baneshwor,bakery,bakery
