bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as
20,0,0,37,22,6,0,49,5,13,49,27,20,10,4.24,73.3,41.71435876336747,ChIJHQw2KNYZ6zkRtKNtnylpaFc,27.6999583,85.3438303,Baneshwor,restaurant,restaurant
21,3,1,15,14,4,0,63,12,10,43,13,7,15,4.493333333333334,53.4,21.63866022719437,ChIJy17xWwAZ6zkR2ptUugJs7DU,27.6946273,85.3277106,Baneshwor,family_restaurant,restaurant
8,0,0,23,17,8,1,82,3,20,74,19,8,9,4.444444444444445,83.88888888888889,52.00171710060446,ChIJmWX9DAAZ6zkRn1wiTbVCrlM,27.6866837,85.326116,Baneshwor,family_restaurant,restaurant
57,4,2,67,51,10,1,64,9,16,73,30,8,44,4.3181818181818175,173.25,67.8292040734,ChIJJcNz4b0Z6zkR8IBFFGdNSZQ,27.6885102,85.333214,Baneshwor,restaurant,restaurant
49,7,2,49,41,15,0,63,9,15,73,24,10,45,4.282222222222223,237.84444444444443,61.825800366546716,ChIJXz5ivb4Z6zkRvZy9V0I4NC8,27.6873859,85.33737670000001,Baneshwor,restaurant,restaurant
45,5,2,54,46,12,2,60,11,19,63,35,8,36,4.308333333333334,192.05555555555554,54.33733558071904,ChIJE5VkUhIZ6zkRXsCI3-SsG8o,27.6888877,85.3315252,Baneshwor,restaurant,restaurant
20,3,0,14,17,4,1,49,11,11,60,8,7,14,4.364285714285714,51.0,136.44488496329168,ChIJcReqS_wZ6zkR2Js-C_kGTKY,27.6927958,85.3266562,Baneshwor,restaurant,restaurant
7,0,0,3,7,7,0,21,1,4,20,8,8,4,4.375,221.25,287.45676120550854,ChIJbYs7G20Z6zkRL46PudG6JEY,27.7064769,85.34394999999999,Baneshwor,family_restaurant,restaurant
24,0,0,41,23,9,1,67,4,16,58,39,13,27,4.2555555555555555,103.96296296296296,43.93259692456954,ChIJGyW_yJkZ6zkRs-YFF_81lnc,27.6980748,85.3381443,Baneshwor,restaurant,restaurant
55,6,3,65,49,14,1,70,10,16,65,27,9,46,4.295652173913043,184.80434782608697,47.80877413864404,ChIJa90t_pUZ6zkRJFw2_YrJNQ0,27.6882816,85.33445449999999,Baneshwor,korean_restaurant,restaurant
