bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label
38,1,1,39,29,11,1,74,3,19,78,39,9,32,4.26875,143.3125,6.535581154544098,ChIJq6rYKAAZ6zkRLMeXLQhnzJk,27.6940205,85.3371767,Baneshwor,fast_food_restaurant,restaurant,1
22,0,0,44,23,10,1,61,4,16,60,36,13,24,4.25,111.75,28.12443299800129,ChIJI8MhiKUZ6zkRNNug_VFzHJ4,27.698655100000003,85.3380328,Baneshwor,restaurant,restaurant,1
45,7,1,56,42,16,0,59,9,17,76,22,9,47,4.340425531914893,209.51063829787236,76.64901313905591,ChIJcxurJwAZ6zkRPb6_3KNRysE,27.6874464,85.3381508,Baneshwor,restaurant,restaurant,1
56,7,3,56,48,16,0,65,10,15,55,26,8,45,4.208888888888889,209.8,56.55615593376019,ChIJO4CS7SwZ6zkR-rr8ndcz54g,27.6889493,85.3355753,Baneshwor,fast_food_restaurant,restaurant,1
10,1,0,27,10,6,0,77,4,25,93,20,20,19,4.36842105263158,104.6842105263158,7.445962300711522,ChIJdbPL25kZ6zkRNOQ57OZRrGM,27.6815962,85.3373002,Baneshwor,restaurant,restaurant,1
23,4,0,43,41,22,1,77,4,16,109,20,13,28,4.362962962962963,179.2962962962963,14.1470406334609,ChIJPyMpSZIZ6zkRe-SLnRb1uSE,27.6878285,85.3414714,Baneshwor,family_restaurant,restaurant,1
38,1,1,44,35,12,1,69,5,14,81,40,10,39,4.343589743589743,171.89743589743588,17.9581435253839,ChIJHeXQ6oEZ6zkRNeqTWTMOBRc,27.6928302,85.3364952,Baneshwor,tibetan_restaurant,restaurant,1
48,4,2,52,37,14,1,71,7,16,79,41,13,45,4.228888888888889,196.46666666666667,34.08718072007588,ChIJB_6lr5cZ6zkRXOmPpVqupIw,27.6919853,85.33631729999999,Baneshwor,hamburger_restaurant,restaurant,1
21,3,0,31,24,4,1,72,10,13,68,21,9,22,4.4727272727272736,41.90909090909091,11.842116620903548,ChIJIXTLk-oZ6zkRM_UvXojy59Y,27.692381,85.32941269999999,Baneshwor,restaurant,restaurant,1
43,4,1,48,37,14,1,66,6,16,80,40,13,44,4.256818181818182,183.52272727272728,3.883478478190665,ChIJ_9rWM_MZ6zkRWHeOJLjzOkI,27.6922436,85.336505,Baneshwor,fast_food_restaurant,restaurant,1
20,0,0,32,12,12,0,51,4,10,49,15,18,10,4.23,128.3,115.15292744658618,ChIJXZJdH6MZ6zkRe54E_8Ro9yk,27.7038502,85.3416195,Baneshwor,restaurant,restaurant,1
27,1,0,40,25,11,1,78,4,21,114,29,12,30,4.376666666666666,206.6,14.335482564241032,ChIJ33mHTwAZ6zkRBft5JQ8BqJc,27.6858637,85.3455085,Baneshwor,restaurant,restaurant,1
20,0,0,37,22,6,0,49,5,13,49,27,20,10,4.24,73.3,41.71435876336747,ChIJHQw2KNYZ6zkRtKNtnylpaFc,27.6999583,85.3438303,Baneshwor,restaurant,restaurant,1
21,3,1,15,14,4,0,63,12,10,43,13,7,15,4.493333333333334,53.4,21.63866022719437,ChIJy17xWwAZ6zkR2ptUugJs7DU,27.6946273,85.3277106,Baneshwor,family_restaurant,restaurant,1
8,0,0,23,17,8,1,82,3,20,74,19,8,9,4.444444444444445,83.88888888888889,52.00171710060446,ChIJmWX9DAAZ6zkRn1wiTbVCrlM,27.6866837,85.326116,Baneshwor,family_restaurant,restaurant,1
57,4,2,67,51,10,1,64,9,16,73,30,8,44,4.3181818181818175,173.25,67.8292040734,ChIJJcNz4b0Z6zkR8IBFFGdNSZQ,27.6885102,85.333214,Baneshwor,restaurant,restaurant,1
49,7,2,49,41,15,0,63,9,15,73,24,10,45,4.282222222222223,237.84444444444443,61.82580036654672,ChIJXz5ivb4Z6zkRvZy9V0I4NC8,27.6873859,85.33737670000001,Baneshwor,restaurant,restaurant,1
