place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m,google_types
ChIJ4bQuadcb6zkRSSfs6US8420,retail,Dibya Fashion,clothing_store,"P995+2C3, बौद्धवर मार्ग, Kathmandu 44600, Nepal",27.7175058,85.3585464,546.01,"clothing_store, store, point_of_interest, establishment"
ChIJ-dGvKMAb6zkRRplMsv7xIoA,retail,Narayani fancy wear,clothing_store,"P9G7+CFM, Saraswatinagar Rd, Kathmandu 44600, Nepal",27.7260866,85.3636628,549.08,"clothing_store, store, point_of_interest, establishment"
ChIJeQ_JQeMb6zkRSVnzmftlhtc,retail,KTM CTY- Ramhiti,clothing_store,"P9H7+3HM, Ramhiti Boudha Rd, Kathmandu 44600, Nepal",27.7262577,85.363733,569.31,"clothing_store, store, point_of_interest, establishment"
ChIJNX2YYvgb6zkRVBH3G4XdWfs,retail,Bagsberry,womens_clothing_store,"P9C9+F4F, Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.721177,85.3677939,576.7,"womens_clothing_store, clothing_store, point_of_interest, store, establishment"
ChIJgf59VKAb6zkRBytE_BzoSi8,retail,Gautam Shoe Store,shoe_store,"P9C9+F4V, Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.721225900000004,85.3678034,577.43,"shoe_store, point_of_interest, store, establishment"
ChIJ0d5y98Qb6zkRSe2dIpgLVFI,retail,Buddha Mala Collection center Pvt.ltd.,shopping_mall,"P9C9+X3F, Kathmandu 44600, Nepal",27.7224473,85.3676852,577.6,"shopping_mall, point_of_interest, establishment"
ChIJiXRdB8Ub6zkRDVN_WfxWtlo,retail,grace Jewelers,jewelry_store,"Boudhanath Sadak, 44600, Nepal",27.72119,85.367847,581.86,"jewelry_store, point_of_interest, store, establishment"
ChIJZ5X7jvEb6zkR5M9Nxjr4PXc,retail,VaryGood Perfumes,clothing_store,"Chowk Arab Bank Road, Kathmandu 44600, Nepal",27.7212118,85.36795889999999,592.78,"clothing_store, point_of_interest, store, establishment"
ChIJ6y6SqcUb6zkRpWm8N8_5keE,retail,Ohm Chandra Impex,clothing_store,"P9C9+F5X, Kathmandu 44600, Nepal",27.7212254,85.36797760000002,594.58,"clothing_store, point_of_interest, store, establishment"
ChIJOwaRqcUb6zkRgMdFzzNgibc,retail,Immanuel Jewellery Industries Pvt. LTD.,jewelry_store,"Boudhanath Sadak, 44600, Nepal",27.721223,85.367987,595.51,"jewelry_store, point_of_interest, store, establishment"
ChIJgYgMMNsY6zkRq4qOZ2SVRDE,retail,S.N Fashion Wear,clothing_store,"old Arab bank, Kathmandu 44600, Nepal",27.7212107,85.3680035,597.18,"clothing_store, point_of_interest, store, establishment"
ChIJFaf6TPgb6zkRzkHiqQswMrI,retail,Indrawati Stationary,home_goods_store,"Kathmandu 44600, Nepal",27.716625,85.35913769999999,597.35,"home_goods_store, store, point_of_interest, establishment"
ChIJKQZlPhIb6zkR1m91jrdhFTk,retail,Kunsang interior and modern furniture,furniture_store,"Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.7211338,85.3680431,601.42,"furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, establishment"
ChIJS-hiqcUb6zkRDopBh6rCN6M,retail,Bigmart Bouddha,department_store,"Kathmandu 44600, Nepal",27.7214144,85.3680624,602.65,"department_store, point_of_interest, store, establishment"
ChIJKd8OIdgb6zkRZXNEr0Db7k8,retail,New Digital Photo House,electronics_store,"Kathmandu 44600, Nepal",27.718737,85.35659969999999,602.78,"home_goods_store, electronics_store, store, service, point_of_interest, establishment"
ChIJWTOaZgAb6zkRgs8Tn18pr1U,retail,Outdoor shop,clothing_store,"P9G7+JFW, Kathmandu 44600, Nepal",27.7266342,85.36369409999999,608.15,"clothing_store, store, point_of_interest, establishment"
ChIJySD1fAAb6zkRTSReFXvFloA,retail,Aasa_Closet,womens_clothing_store,"1053 Boudhadwar Marg, Kathmandu 44600, Nepal",27.7182668,85.3568226,611.84,"womens_clothing_store, clothing_store, store, point_of_interest, establishment"
ChIJuXVAIMcb6zkRcNuENT0SMfo,retail,Rose luxury,clothing_store,"P999+Q3X, Kathmandu 44600, Nepal",27.7193368,85.3677218,613.2,"clothing_store, store, point_of_interest, establishment"
ChIJW4WyrsUb6zkRnt6meIZ1Jck,retail,Barsha Gold & Silver Jewellary Shop,jewelry_store,"Boudhanath Sadak, Kathmandu 44600, Nepal",27.7212689,85.3682023,616.56,"jewelry_store, point_of_interest, store, establishment"
ChIJy-EVeMUb6zkRPA_jcFSJNks,retail,everest dressup,shopping_mall,"P999+P4M, Gokarneshwor 44600, Nepal",27.7193466,85.36778910000001,618.96,"shopping_mall, point_of_interest, establishment"
ChIJV6XNphEb6zkRowgrgTQ7vUQ,retail,libson kathmandu,clothing_store,"P9C9+R78, Boudha Rd, Kathmandu 44600, Nepal",27.7220262,85.3681979,620.02,"clothing_store, point_of_interest, store, establishment"
ChIJMdlyIdgb6zkRiw8ATn6ifAA,retail,ॐ साई Mongolian Boutique Fashion House,clothing_store,"P994+CHW, Kathmandu 44600, Nepal",27.718614,85.356449,622.43,"clothing_store, store, point_of_interest, establishment"
ChIJEdULR7Ub6zkRqLym-7dQkv0,retail,Guragain Store,shopping_mall,"P9G7+Q58, Saraswatinagar Rd, Kathmandu 44600, Nepal",27.72692,85.3629356,622.67,"shopping_mall, point_of_interest, establishment"
ChIJVXXPDQAb6zkRsYu6g_4H5jk,retail,Tensu collection,clothing_store,"P998+5V2, Kathmandu 44600, Nepal",27.7181511,85.3671411,625.95,"clothing_store, store, point_of_interest, establishment"
ChIJ6xktU8Qb6zkRnl7tRG1iJv0,retail,Pvt Hyolmo furniture industry. LTD.,furniture_store,"P9C9+M8W, Jorpati Road, Kathmandu 44602, Nepal",27.7217364,85.3683267,629.83,"furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, establishment"
ChIJk9xwBgAb6zkRyPdNfk-ph8k,retail,SKR ELECTRICIAN SERVICE SHOP-Prop. SHIVA ADHIKARI,electronics_store,"P987+GW2, Kathmandu 44600, Nepal",27.716264400000004,85.364737,632.96,"electronics_store, store, point_of_interest, establishment"
ChIJlzXWrcUb6zkR_ypg7d31CI8,retail,Fancy spring collection,clothing_store,"P9C9+G96, Boudha Rd, Kathmandu 44600, Nepal",27.7213,85.368392,635.16,"clothing_store, point_of_interest, store, establishment"
ChIJG0UzDgAb6zkRKBn6L5vmxsU,retail,drippy.np,clothing_store,"P9G7+MQJ, बौद्ध मार्ग, Kathmandu 44600, Nepal",27.7266654,85.3644295,635.72,"clothing_store, store, point_of_interest, establishment"
ChIJg5x3rsUb6zkRm7j8_gpflOU,retail,Hari Siddhi Traders,clothing_store,"P9C9+G96, Boudhanath Sadak, Kathmandu 44602, Nepal",27.721285,85.3684059,636.56,"clothing_store, point_of_interest, store, establishment"
ChIJS-vFFwAb6zkRNNtB1GpzATY,retail,The fashion factory,clothing_store,"P9C9+J93, Arab Bank Road, Kathmandu 44600, Nepal",27.721523,85.3684202,638.03,"clothing_store, point_of_interest, store, establishment"
ChIJn2OvBhkb6zkRIw7fj6-Wwv8,retail,Himal Curio Arts,furniture_store,"44600 Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.7215167,85.3684217,638.16,"furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, establishment"
ChIJk6dwwtUb6zkRBKYY7yIAgdU,retail,Maiyan store buddha marga,home_goods_store,"Tamang gumba, Kathmandu 44600, Nepal",27.7166249,85.36555800000001,638.42,"home_goods_store, store, point_of_interest, establishment"
ChIJ75q8Ldwb6zkRjwTukLELJdU,retail,Ma.menswear,clothing_store,"Kathmandu 44600, Nepal",27.7178995,85.367148,643.0,"clothing_store, store, point_of_interest, establishment"
ChIJZ1pBs1kb6zkRyKEiquoGep4,retail,Shree tej laxmi sun chadi pasal,manufacturer,"P987+9MQ, RoadKathmandu 44600, Nepal",27.7159651,85.36422519999999,643.8,"jewelry_store, manufacturer, store, service, point_of_interest, establishment"
ChIJX1eGhvob6zkRx3Occ6Q7D-o,retail,Gyanmala Sadan,book_store,"P985+GFP, Kathmandu 44600, Nepal",27.7163437,85.358691,645.86,"book_store, store, point_of_interest, establishment"
ChIJ4Y7HMgAb6zkRMpvMuqYsgs0,retail,MB Tailoring center Mahankal,clothing_store,"P9G5+94G, Kapan Marg, Kathmandu 44600, Nepal",27.7259456,85.35783339999999,648.07,"clothing_store, point_of_interest, store, establishment"
ChIJ4UcdNNAb6zkR6cKec2WHwUg,retail,ME Shirts,clothing_store,"Unnamed Road, P987+9PQ, काठमाडौँ 44600, Nepal",27.7159575,85.36435279999999,649.08,"clothing_store, store, point_of_interest, establishment"
ChIJkYd4tr8b6zkRSEYNHIUnsCs,retail,Lija Sunchadi Pasal,jewelry_store,"7 Tushal-Mahankal Rd, Kathmandu 44600, Nepal",27.7183476,85.3562838,651.48,"jewelry_store, store, point_of_interest, establishment"
ChIJa6N3D6kb6zkRHrwfJ3RkD-Q,retail,Awnoval,clothing_store,"Boudha Rd, Kathmandu 44600, Nepal",27.7155303,85.3615573,652.66,"clothing_store, store, point_of_interest, establishment"
ChIJMdLkuaT7aYQRKVkx3oqNXec,retail,maddesire,clothing_store,"Kathmandu 44600, Nepal",27.7162182,85.3587957,653.08,"clothing_store, store, point_of_interest, establishment"
ChIJNe-bCp4b6zkRRvrDkXtsLLg,retail,Jhankar Radio Service,electronics_store,"Mahankal Oralo Chowk Bus Stop, 44600, काठमाडौँ 00977, Nepal",27.7261638,85.3580534,654.31,"electronics_store, point_of_interest, store, establishment"
ChIJk2wXVgAb6zkRS9QYH_R7w18,retail,Bhumi Store Kathmandu,clothing_store,"P987+8H9, Patitar 44600, Nepal",27.715775,85.3639748,655.7,"clothing_store, store, point_of_interest, establishment"
ChIJV7Xuby4b6zkRWYapWDr5NZc,retail,Subha Dulal Store,shopping_mall,"Saraswatinagar Rd, Kathmandu 44600, Nepal",27.7272569,85.3627255,656.94,"shopping_mall, point_of_interest, establishment"
ChIJQa468d4b6zkR47ldioeqlro,retail,Studio orchids,electronics_store,"Mahankal, Oralo, Road, काठमाडौँ 44600, Nepal",27.7263519,85.3582734,659.29,"electronics_store, home_goods_store, service, point_of_interest, store, establishment"
ChIJnckadwAb6zkR9SQF0Co6x_U,retail,Classic Gems Jewellers,jewelry_store,"P9C9+PF6, Arab Bank Road, Kathmandu 44600, Nepal",27.7217916,85.36862719999999,659.75,"jewelry_store, point_of_interest, store, establishment"
ChIJf6HE794b6zkRWpJVbaTXRps,retail,Aqua space,shopping_mall,"P9G5+H88, Kathmandu 44600, Nepal",27.7264058,85.35831519999999,662.09,"shopping_mall, point_of_interest, establishment"
ChIJuXGUUgAZ6zkRKKKzgE_8YlI,retail,Libju Collection Pvt.Ltd. Tusal,clothing_store,"Tusal Marg, Kathmandu 44600, Nepal",27.7181284,85.3563021,662.96,"clothing_store, store, point_of_interest, establishment"
ChIJK3nSTAAb6zkR_qEJUuBEGq0,retail,Libju collection tusal,clothing_store,"P994+6GV, Tusal Marg, Kathmandu 44600, Nepal",27.7181193,85.35628849999999,664.63,"clothing_store, store, point_of_interest, establishment"
ChIJJRoG4dwb6zkRpNgl-grH05U,retail,Hari furniture show-room,furniture_store,"P9G7+VG7, Kathmandu 44600, Nepal",27.727157,85.363805,667.02,"furniture_store, home_improvement_store, home_goods_store, store, point_of_interest, establishment"
ChIJJUQIZgAb6zkRLyUMaJwWl6M,retail,51 clothing,clothing_store,"Ramhittee, Kathmandu 44600, Nepal",27.7269093,85.3646672,669.86,"clothing_store, store, point_of_interest, establishment"
ChIJMcAmZAAb6zkR-Z9nnJL5q-8,retail,pramod kirana pasal,supermarket,"house no. 254, 6 Ramhiti, Kathmandu 44600, Nepal",27.7274121,85.36159669999999,670.48,"supermarket, grocery_store, food_store, store, point_of_interest, food, establishment"
ChIJz52k3lEZ6zkRP4-YqqzxCLQ,retail,risabi collection,clothing_store,"Tusal Marg, Kathmandu 44600, Nepal",27.7181402,85.3561072,678.4,"clothing_store, store, point_of_interest, establishment"
ChIJAyxwPgAb6zkR-55LEhJe8WI,retail,Kathmandu,book_store,"P9G6+XCV, Saraswatinagar Rd, Kathmandu 44600, Nepal",27.7274889,85.361059,683.69,"book_store, store, point_of_interest, establishment"
ChIJM0pUrHQb6zkRB_gY1QSV6pg,retail,Idhant Store,gift_shop,"Kathmandu 44600, Nepal",27.7162982,85.3659136,688.15,"gift_shop, toy_store, cosmetics_store, clothing_store, store, point_of_interest, establishment"
ChIJR71aPgAb6zkRy7_CJdgvh6o,retail,Pokhrel Niwas Mahankal Oralo Kathmandu,convenience_store,"P9G5+M86 oralo, Mahankal Oralo Rd, Kathmandu 44600, Nepal",27.7266574,85.3582651,688.4,"convenience_store, food_store, food, point_of_interest, store, establishment"
ChIJi8TJG7AZ6zkRIUnV1a3FthY,retail,Balloon party shop,home_goods_store,"Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.7161378,85.3582026,690.23,"home_goods_store, store, point_of_interest, establishment"
ChIJtwg5ETgb6zkR90LYlOJxZK0,retail,U B Cosmetics,shopping_mall,"Unnamed Road, Kathmandu 44600, काठमाडौँ 44600, Nepal",27.7151231,85.3615207,698.07,"shopping_mall, point_of_interest, establishment"
ChIJDzC7KwAb6zkRyeVU5Bp1jAA,retail,Sujan electronic shop,electronics_store,"P987+358, Boudha Rd, Kathmandu 44600, Nepal",27.7151689,85.3629412,698.74,"electronics_store, point_of_interest, store, establishment"
ChIJOzKS-d4b6zkRcjG-MrKzl6g,retail,Ruby Tailoring Center,clothing_store,"P9G5+M7V, Saraswatinagar Rd, Kathmandu 44600, Nepal",27.7267379,85.3581595,701.49,"clothing_store, point_of_interest, store, establishment"
ChIJMZzhUwAb6zkRiwKixe1L6ZA,retail,Shree Sabitri Sun Chandi pasal,jewelry_store,"P987+28, Kathmandu 44600, Nepal",27.7150826,85.3632647,713.37,"jewelry_store, point_of_interest, store, establishment"
ChIJy-i13XIb6zkRguEuR-sAi4k,retail,Alwish & AD Company Pvt. Ltd,electronics_store,"Tamang gumba, Kathmandu 44600, Nepal",27.7171405,85.36737579999999,713.84,"electronics_store, home_goods_store, store, point_of_interest, service, establishment"
ChIJoUtlEgAb6zkRMQxXifY2Vbc,retail,Nepali Carpet,building_materials_store,"P994+48H, Tusal Marg, Kathmandu 44600, Nepal",27.7178094,85.3558673,718.22,"home_goods_store, building_materials_store, store, point_of_interest, establishment"
ChIJybEUHAAb6zkRmebobkmDMMo,retail,Jay matadi mobile Center,electronics_store,"P9H7+2JP, Kathmandu 44600, Nepal",27.7275919,85.36406699999999,720.7,"electronics_store, store, point_of_interest, establishment"
ChIJi8q4pqQb6zkR079hq0XHZiM,retail,Welcome boutique,womens_clothing_store,"Nayabasti tamang gumba, Kathmandu 00977, Nepal",27.7170718,85.3674315,723.01,"womens_clothing_store, clothing_store, store, point_of_interest, establishment"
ChIJ3fZAr9Ab6zkRm2iBU3miDUc,retail,Cloth Shop,clothing_store,"P988+PV8, Kathmandu 44600, Nepal",27.7167986,85.36721469999999,728.17,"clothing_store, store, point_of_interest, establishment"
ChIJFcNWG9cb6zkRyKW84bfoOVA,retail,Harry🕉️Rudraksha Mala Store📿,store,"P985+87F, 06 Boudha - Jorpati Rd, Kathmandu 44600, Nepal",27.715759,85.35811489999999,730.63,"store, home_goods_store, point_of_interest, establishment"
ChIJleMtts8b6zkRgpBDPMSzNRA,retail,Nawadeep Stores,home_goods_store,"P988+GJ9, Gokarneshwor 44600, Nepal",27.7162765,85.3666241,732.05,"home_goods_store, store, point_of_interest, establishment"
ChIJhSc_OwAb6zkRQcyaTnX0o4E,retail,SS Collection,clothing_store,"P988+QXG, Kathmandu 44600, Nepal",27.7169259,85.3674643,736.27,"clothing_store, store, point_of_interest, establishment"
ChIJJRm3LQAb6zkReBmPyeJAMBI,retail,Salam Suit Collection,clothing_store,"P988+PVQ, Kathmandu 44600, Nepal",27.7169016,85.36744689999999,736.83,"clothing_store, store, point_of_interest, establishment"
ChIJDc66Fgob6zkRS0jZTrF0-T0,retail,Waiba Furniture,furniture_store,"P976+WMJ, Kathmandu 44600, Nepal",27.7147583,85.3619849,737.42,"furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, establishment"
ChIJyXtN7YAb6zkR6eqB0JkA4W4,retail,Lehna Cashmere Factory Outlet,manufacturer,"Tinchuli Chowk, Phulbari Marg, Kathmandu 44600, Nepal",27.725883300000003,85.3674609,738.2,"clothing_store, point_of_interest, store, manufacturer, establishment"
ChIJsSNmEgYb6zkRzcjtBEKIkO4,retail,RN ELECTRIC,electronics_store,"Kathmandu 44600, Nepal",27.7149236,85.3637377,740.49,"electronics_store, point_of_interest, store, establishment"
ChIJY9ylrqkb6zkRpO1w5r-I6js,retail,Amar kirana pasol,home_goods_store,"P984+X8F, Kathmandu 44600, Nepal",27.7174445,85.35581169999999,745.9,"home_goods_store, store, point_of_interest, establishment"
ChIJQaXKfgob6zkRRlFzZe40_aY,retail,Bright view photo studio and mobile/watch Repair center,electronics_store,"Old Bipul Chowk Bus Stop, P988+JVG, गोकर्णेश्वर 44600, Nepal",27.7165581,85.36720509999999,746.51,"electronics_store, store, point_of_interest, establishment"
ChIJu4KD_CAb6zkRe3AvMoRIk98,retail,Ajima Boudha Mart,supermarket,"Kathmandu 44602, Nepal",27.7148284,85.3635925,747.53,"supermarket, grocery_store, food_store, food, point_of_interest, store, establishment"
ChIJGw_ZYQAb6zkREoYMwNCP5MY,retail,Two times twoo0,clothing_store,"P977+W85, Boudha Rd, Kathmandu 44600, Nepal",27.7147852,85.3633653,747.7,"clothing_store, point_of_interest, store, establishment"
ChIJQx0NTAAb6zkRUHvDxD1GbdI,retail,Samjhana sun chadi pasal,jewelry_store,"P9H7+5J4, Kathmandu 44600, Nepal",27.7278832,85.3640886,752.35,"jewelry_store, store, point_of_interest, establishment"
