place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJnxqQqYQZ6zkRVjdk3sPdddM,office,Willim Advance Enterprise,corporate_office,"M9Q2+25X, Ring Rd, Kathmandu 44600, Nepal",27.6876029,85.3504987,477.66
ChIJBZR6cg0Z6zkRLWi4kSaeRt0,office,Bagmati Investment & Enterprises (P) Ltd.,corporate_office,"M8HX+HMM, Kathmandu 44600, Nepal",27.6789663,85.34916249999999,492.18
ChIJgYQOhGEZ6zkRuZxlC00CrBU,office,Professional Elixier,corporate_office,"M8HX+M85, Kathmandu 44600, Nepal",27.6791398,85.3483595,493.14
ChIJv8cTRwAZ6zkRiPpCWJ5ByCY,office,Godhuli Enterprises,corporate_office,"M8JW+5FR, Kathmandu 44600, Nepal",27.6804306,85.3461055,501.0
ChIJvfWF978Z6zkRJw_WcXPt2oE,office,The Annapurna Express,corporate_office,"Shakti Vinayak Marg, Kathmandu 44600, Nepal",27.6878481,85.35046419999999,504.46
ChIJ-ydutmMZ6zkRM8GrvELTbKs,office,AVIC project office,corporate_office,"Kathmandu 44600, Nepal",27.6877635,85.3510974,504.69
ChIJlwEX7osZ6zkRKg2mvr8_LYQ,office,Annupurna Tower,corporate_office,"M9Q2+45W, Shakti Vinayak Marg, Kathmandu 44600, Nepal",27.6878556,85.3504584,505.24
ChIJ6U7R8YsZ6zkRr7NOh-twGo8,office,Annapurna Media Network (AMN),corporate_office,"M9Q2+45R, Shakti Vinayak Marg, Kathmandu 44600, Nepal",27.6878638,85.3504009,505.68
ChIJ88uw4KsZ6zkR4GeeNtVHvXA,office,TIDMC,corporate_office,"M8HX+M45, Kathmandu 44600, Nepal",27.679126,85.3478659,512.52
ChIJy3CmDwAZ6zkRf2dJ6AR6FSo,office,Vroom Nepal,corporate_office,"M9Q2+52J, Sairam Marg, Kathmandu 44600, Nepal",27.6879576,85.35002109999999,514.57
ChIJv80494sZ6zkRszYbNbTjASI,office,Norbrik Nepal Pvt. Ltd,corporate_office,"M9Q2+52Q, Shakti Vinayak Marg, Kathmandu 44600, Nepal",27.6879634,85.35011659999999,515.34
ChIJpSrMumcZ6zkRc67zURMh2XM,office,Leadpath Nepal,corporate_office,"32 Koteshwor Chowk, Kathmandu 46400, Nepal",27.6787298,85.3487869,525.28
ChIJVU9KONQZ6zkRvo6PCZwZxO0,office,Expert Business | Best Business Consultant in Nepal,consultant,"Shakti Vinayak Marg, Kathmandu 44600, Nepal",27.6881278,85.35011539999999,533.61
ChIJ92r0DOYZ6zkRfQJ11eSMV6s,office,Scientific Business Hub Pvt. Ltd.,corporate_office,"Kathmandu 44600, Nepal",27.6787245,85.3482525,540.24
ChIJWfoF-TkZ6zkRGPNV7dxMWwE,office,Dinesh Nepali,service,"Kathmandu 44600, Nepal",27.6881408,85.3491052,542.14
ChIJV4-7cQAZ6zkRE4aaMBMrUvc,office,Axis Medibiz,corporate_office,"M8QX+7C8 Tinkune (Near ISMT college, Kathmandu 44600, Nepal",27.6881545,85.3485741,554.53
ChIJDTU0zv8Z6zkRbGF44u_zb6I,office,Scientific Learning Center's Training Hall,corporate_office,"M8HW+HWC, Seti Op Marg, Kathmandu 44600, Nepal",27.678931,85.3472553,558.85
ChIJVULZZroZ6zkRhi3euLk64tc,office,Skill Development and Vocational Training Academy Pvt. Ltd.,corporate_office,"M8HW+GVX, Seti Op Marg, Kathmandu 44600, Nepal",27.6788728,85.34723249999999,565.6
ChIJcWIyTPIZ6zkROzR4q-b1BWM,office,Hamima Travels,corporate_office,"32 Seti Op Marg, Kathmandu 44600, Nepal",27.6790165,85.34692659999999,567.13
ChIJTUBVH4wZ6zkR5Kcy83ZuQro,office,Nepal Meditech & Surgitech,corporate_office,"M8QX+8CF, Sairam Marg, Kathmandu 44600, Nepal",27.6883196,85.34855879999999,572.68
ChIJ00mdoeMZ6zkRbB4WhJxlv_w,office,Axis Investment and Development Pvt Ltd,corporate_office,"Kathmandu 44600, Nepal",27.688320500000003,85.3485505,572.98
ChIJ8YLqbAAZ6zkRuSNqKfgu9Io,office,PrimeLogic Hub,corporate_office,"M9Q2+C38, Kathmandu 44600, Nepal",27.68857,85.3502226,583.07
ChIJ5wSwKgAZ6zkRM2onH-t1KTc,office,Kore health care,corporate_office,"M8JW+42Q, Kathmandu 44600, Nepal",27.6803365,85.345101,586.09
ChIJU0oNiPIZ6zkRm3TclrjfDuk,office,B's Soft,corporate_office,"M8JW+244, Mahadevsthan Marg, Kathmandu 44600, Nepal",27.6800146,85.3453139,590.61
ChIJM72DkZMZ6zkRTI6surqPB-I,office,RR Tyre Center,corporate_office,"M9H3+JFC, Kathmandu 44600, Nepal",27.679053,85.3536397,595.5
ChIJQ5quAwAZ6zkR-ZA0ak65_jY,office,Siddhartha Hospitality Corporate Office,corporate_office,"M8HW+M83, Seti Op Marg, Kathmandu 44600, Nepal",27.6791349,85.3458016,623.3
ChIJ07BzDAAZ6zkRpvxtFekx50c,office,Overseas Freight Pvt. Ltd.,corporate_office,"M9Q2+JH7, Kathmandu 44600, Nepal",27.6890327,85.3514163,649.26
ChIJ804wSx4Z6zkRTxer0WyDpcY,office,GS Caltex Poqutec EDT,manufacturer,"Madan Bhandari Road, Kathmandu 44600, Nepal",27.6783618,85.35368319999999,660.85
ChIJu3MSZQAZ6zkRW68Paa4jdn0,office,BUDINANDA SWOROJGAR MULTIPURPOSE COMPANY,corporate_office,"M8HW+5VC, Kathmandu 44600, Nepal",27.6779316,85.34714989999999,662.64
ChIJ48A1IyYZ6zkR2mSqzjteWkE,office,One Tree I.T. Services Pvt Ltd,corporate_office,"Mahadevsthan, 32 Seti Op Marg, Kathmandu 44600, Nepal",27.6788095,85.345568,665.67
ChIJSemWGlAZ6zkR6eiAxMUHGk8,office,Manchester United Supporters' Club Nepal,corporate_office,"M8HW+7J8, Saraswati Mata Marga, Kathmandu 44600, Nepal",27.6781591,85.34658809999999,665.94
ChIJUaySexMZ6zkRhRT1DpaAerg,office,Techno Food Consult Pvt Ltd,corporate_office,"M8QX+RW8, Kathmandu 44600, Nepal",27.6895325,85.34982540000001,689.9
ChIJ-7NaNTYZ6zkRC7EC2GhLzzQ,office,MetroBuilders,corporate_office,"M8JV+5FQ, Kathmandu 44600, Nepal",27.6804522,85.3437485,693.78
ChIJg2pY3xoZ6zkR6d_lcOBu9Ec,office,Kiaan Chemicals Industry pvt.ltd.Nepal Head Office,corporate_office,"Dharmasthal marga, Kathmandu 44600, Nepal",27.680454,85.3437111,696.95
ChIJi8hR3PUZ6zkRdZyI2BDj_2o,office,Salt Trading Corporation Ltd.,government_office,"M9H3+485, Kathmandu 44604, Nepal",27.6777536,85.3533475,702.24
ChIJ6SMFKwMZ6zkRll4i61coT4U,office,युनाइटेड ईन्जिनियरिङ् सोलुसन्स प्रा. लि.,corporate_office,"Kathmandu 44600, Nepal",27.684256,85.34285109999999,711.41
