area,u,v,key,osmid,name,highway,oneway,maxspeed,clipped_length_m,geometry_wkt
Baneshwor,31150628,6072590005,0,"[646254179, 1303819812]",,residential,False,,176.99158433634892,"LINESTRING (85.348205 27.698537, 85.348033 27.698365, 85.347935 27.698302, 85.347815 27.698208, 85.347696 27.698149, 85.347511 27.69808, 85.347443 27.698054, 85.347418 27.698022, 85.347411 27.697985, 85.347432 27.697922, 85.347438 27.697867, 85.347452 27.697795, 85.34747 27.697751, 85.347513 27.697694, 85.347698 27.697506, 85.347785 27.697421)"
Baneshwor,296332795,1274031398,0,"[1353164361, 1353164364, 1353164359]","['Sinamangal Marg', 'सिनामंगल पुल']",secondary,True,,131.67763239366766,"LINESTRING (85.347382 27.698819, 85.347147 27.698873, 85.346373 27.69911, 85.34613 27.699223)"
Baneshwor,296332795,12520722847,0,1353164363,,residential,False,,49.565055450549224,"LINESTRING (85.347382 27.698819, 85.347231 27.698776, 85.346898 27.698853)"
Baneshwor,6072590005,6072590013,0,646254179,,residential,False,,72.33234800793184,"LINESTRING (85.347785 27.697421, 85.347774 27.697351, 85.347766 27.697222, 85.347741 27.69715, 85.347706 27.697102, 85.347637 27.697004, 85.347633 27.696982, 85.347548 27.696873, 85.347507 27.696839)"
Baneshwor,6072590005,12074607971,0,1303819811,,residential,False,,74.13025500138485,"LINESTRING (85.347785 27.697421, 85.347849 27.697621, 85.347892 27.697779, 85.347912 27.69787, 85.347942 27.697936, 85.34799 27.698003, 85.348018 27.698052)"
Baneshwor,31150643,3547387336,0,4840030,बत्तीसपुतली मार्ग,secondary,False,,81.71052143134624,"LINESTRING (85.340226 27.701458, 85.34058 27.702125)"
Baneshwor,31150643,2218374662,0,232104796,सिनामंगल मार्ग,secondary,False,,71.49830130864216,"LINESTRING (85.340226 27.701458, 85.340888 27.701195)"
Baneshwor,3547387336,2687363990,0,4840030,बत्तीसपुतली मार्ग,secondary,False,,17.333814144969033,"LINESTRING (85.34058 27.702125, 85.340649 27.702269)"
Baneshwor,3547387336,3547387339,0,348686132,,unclassified,False,,94.22347433042088,"LINESTRING (85.34058 27.702125, 85.340315 27.702225, 85.339948 27.702331, 85.3397 27.702448)"
Baneshwor,2218374662,2057264928,0,232104796,सिनामंगल मार्ग,secondary,False,,90.48915661036295,"LINESTRING (85.340888 27.701195, 85.341364 27.701031, 85.341745 27.700904)"
Baneshwor,2218374662,12518284227,0,1352914494,,residential,False,,85.36707454796425,"LINESTRING (85.340888 27.701195, 85.34111 27.701611, 85.341272 27.701885)"
Baneshwor,31230922,3045212606,0,224131948,Kathmandu Ringroad,trunk,False,,101.99891333467173,"LINESTRING (85.350522 27.687306, 85.350045 27.68649)"
Baneshwor,31230922,12989555495,0,257756417,Kathmandu Ringroad,trunk,False,,40.31628738781709,"LINESTRING (85.350522 27.687306, 85.350595 27.687419, 85.350723 27.687623)"
Baneshwor,3045212606,10918103024,0,224131948,Kathmandu Ringroad,trunk,False,,4.800968447465891,"LINESTRING (85.350045 27.68649, 85.350023 27.686451)"
Baneshwor,3045212606,10918103015,0,170533897,मदन भण्डारी पथ,tertiary,True,,31.223538775193244,"LINESTRING (85.350045 27.68649, 85.350029 27.686497, 85.349956 27.686517, 85.349924 27.686521, 85.349891 27.686523, 85.349855 27.686523, 85.349777 27.686513, 85.349736 27.686503)"
Baneshwor,12989555495,1887753906,0,195246450,Sairam Marg,residential,False,,102.91214422708573,"LINESTRING (85.350723 27.687623, 85.35064 27.687664, 85.350511 27.687732, 85.350507 27.687828, 85.35054 27.687939, 85.350523 27.687964, 85.350005 27.688061)"
Baneshwor,12989555495,1273515715,0,"[257756417, 257752685]",Kathmandu Ringroad,trunk,False,,138.64523105997492,"LINESTRING (85.350723 27.687623, 85.350846 27.687819, 85.351371 27.688733)"
Baneshwor,1274031398,1317085099,0,171227895,सिनामंगल मार्ग,secondary,False,,35.767551029993534,"LINESTRING (85.34613 27.699223, 85.345773 27.699283)"
Baneshwor,1274031398,1317085219,0,120435378,,residential,False,,377.1522747043255,"LINESTRING (85.34613 27.699223, 85.346206 27.699142, 85.346247 27.699098, 85.346474 27.69898, 85.346354 27.698732, 85.346326 27.698486, 85.346363 27.698272, 85.346337 27.698038, 85.346328 27.697788, 85.346428 27.697558, 85.346538 27.697363, 85.346668 27.697176, 85.346923 27.696948, 85.347087 27.696788, 85.347185 27.696676, 85.347272 27.69655, 85.347305 27.696476, 85.347372 27.696383, 85.347449 27.696333)"
Baneshwor,1274031398,12520722849,0,121517656,सिनामंगल रोड,secondary,True,,32.22167511640302,"LINESTRING (85.34613 27.699223, 85.346368 27.699222, 85.346456 27.699223)"
Baneshwor,12520722847,6072590013,0,120435381,,residential,False,,250.82623412578437,"LINESTRING (85.346898 27.698853, 85.346807 27.698718, 85.346777 27.698652, 85.346757 27.698556, 85.346739 27.698433, 85.346728 27.698061, 85.346728 27.697896, 85.346796 27.697694, 85.346859 27.697593, 85.34697 27.697444, 85.347072 27.697306, 85.347507 27.696839)"
Baneshwor,12520722847,2296825748,0,"[1353164362, 120435381]",,residential,False,,67.12905065445825,"LINESTRING (85.346898 27.698853, 85.34697 27.699007, 85.347088 27.699144, 85.347306 27.699236, 85.347364 27.69923)"
Baneshwor,313735977,1382902995,0,184533868,Santosh Marg,residential,False,,116.94098283269894,"LINESTRING (85.332484 27.691546, 85.333147 27.69242)"
Baneshwor,313735977,1281221675,0,232095610,भक्तथापा रोड,tertiary,False,,45.34746895239331,"LINESTRING (85.332484 27.691546, 85.33206 27.691705)"
Baneshwor,313735977,1440792315,0,184533871,Saraswati Marg,residential,False,,198.79260824468187,"LINESTRING (85.332484 27.691546, 85.332328 27.69137, 85.332131 27.691132, 85.33202 27.690998, 85.33195 27.690914, 85.331816 27.690815, 85.331746 27.690762, 85.331686 27.69069, 85.33168 27.690576, 85.33162 27.690493, 85.331638 27.690415, 85.33168 27.69027, 85.331726 27.690162, 85.331793 27.690058)"
Baneshwor,313735977,1281221669,0,232095610,भक्तथापा रोड,tertiary,False,,127.22090886328792,"LINESTRING (85.332484 27.691546, 85.332813 27.691422, 85.333065 27.691362, 85.333459 27.69127, 85.333714 27.691209)"
Baneshwor,1382902995,1382902980,0,124188173,Manakamana Mai Marg,residential,False,,174.6502947241636,"LINESTRING (85.333147 27.69242, 85.333277 27.69231, 85.33328 27.692306, 85.33328 27.692301, 85.333278 27.692265, 85.333283 27.692235, 85.333302 27.692209, 85.333593 27.692075, 85.334011 27.691905, 85.334365 27.691694, 85.334574 27.691559)"
Baneshwor,1382902995,728152066,0,184533868,Santosh Marg,residential,False,,54.93809808348418,"LINESTRING (85.333147 27.69242, 85.333286 27.692575, 85.333401 27.692777, 85.333429 27.692844)"
Baneshwor,1281221675,2168021890,0,232095610,भक्तथापा रोड,tertiary,False,,70.81778840447427,"LINESTRING (85.33206 27.691705, 85.331359 27.691844)"
Baneshwor,1281221675,1382824274,0,112783618,Lakhe Chaur Marg,residential,False,,166.19100871148405,"LINESTRING (85.33206 27.691705, 85.332253 27.692168, 85.332358 27.692616, 85.332401 27.692862, 85.33248 27.693154)"
Baneshwor,1440792315,6671608059,0,112783617,Bogati Marg,residential,False,,111.2370202906654,"LINESTRING (85.331793 27.690058, 85.331723 27.690025, 85.331497 27.689947, 85.331446 27.689924, 85.331397 27.689891, 85.331337 27.689822, 85.331294 27.689756, 85.331254 27.689709, 85.331161 27.689654, 85.331089 27.689595, 85.331021 27.689467, 85.330992 27.689412)"
Baneshwor,1440792315,1950423260,0,184548709,बोगाटी मार्ग,residential,False,,277.2694022051978,"LINESTRING (85.331793 27.690058, 85.33201 27.690136, 85.332254 27.690251, 85.332482 27.690392, 85.332701 27.690504, 85.332822 27.69059, 85.332996 27.690671, 85.333166 27.690713, 85.333491 27.690762, 85.333599 27.690758, 85.333673 27.690682, 85.333756 27.690654, 85.333845 27.690699, 85.333976 27.690783, 85.33409 27.690887, 85.334158 27.69099, 85.334185 27.691019)"
Baneshwor,1281221669,1382902980,0,58751513,Okharbot Marg,residential,False,,101.24124372323618,"LINESTRING (85.333714 27.691209, 85.333806 27.691358, 85.333818 27.691369, 85.333829 27.691376, 85.333844 27.691376, 85.333919 27.691365, 85.333992 27.691362, 85.33413 27.69137, 85.334285 27.691393, 85.334493 27.691496, 85.334574 27.691559)"
Baneshwor,1281221669,1950423260,0,"[232095609, 232095610]","['भक्तथापा रोड', 'भक्ति थापा रोड़']",tertiary,False,,51.18737453225956,"LINESTRING (85.333714 27.691209, 85.333839 27.691163, 85.333908 27.691125, 85.333947 27.691105, 85.334004 27.691081, 85.334045 27.691064, 85.334089 27.691044, 85.334185 27.691019)"
Baneshwor,313735983,5289759124,0,182984266,पुरानो बानेश्वर सडक,secondary,False,,8.853066056376532,"LINESTRING (85.335557 27.688209, 85.335578 27.688287)"
Baneshwor,313735983,4914887960,0,182984267,संखामुल मार्ग,secondary,False,,7.723732258348574,"LINESTRING (85.335557 27.688209, 85.335535 27.688142)"
Baneshwor,313735983,1281233923,0,"[183110577, 221323019]","['Madan Bhandari Path', 'मदन भण्डारी पथ']",trunk,True,40,689.8951199228082,"LINESTRING (85.335557 27.688209, 85.335278 27.688269, 85.334663 27.688397, 85.333814 27.6886, 85.333121 27.68876, 85.332887 27.688813, 85.332037 27.689006, 85.331345 27.689168, 85.33102 27.689238, 85.330786 27.689302, 85.330278 27.689452, 85.330018 27.689544, 85.32979 27.689642, 85.329335 27.689853, 85.328988 27.690007, 85.328907 27.690057)"
Baneshwor,5289759124,6671608045,0,1090992807,नया बानेश्वर सडक,secondary,False,,9.700912138982039,"LINESTRING (85.335578 27.688287, 85.335598 27.688372)"
Baneshwor,5289759124,10945918824,0,215506638,मदन भण्डारी मार्ग,trunk,True,,143.78510943648524,"LINESTRING (85.335578 27.688287, 85.335632 27.68827, 85.335928 27.688205, 85.33699 27.687966)"
Baneshwor,4914887960,1281233885,0,182984267,संखामुल मार्ग,secondary,False,,93.20939769675776,"LINESTRING (85.335535 27.688142, 85.335511 27.68807, 85.335384 27.687753, 85.335338 27.687599, 85.335332 27.687567, 85.335289 27.687332)"
Baneshwor,4914887960,4914887993,0,435253159,,tertiary,True,,179.14084456262893,"LINESTRING (85.335535 27.688142, 85.335258 27.688199, 85.334313 27.688396, 85.333769 27.688519)"
Baneshwor,1281233923,1945637506,0,184550737,धोबिखोला मार्ग,residential,False,,7.337583500141453,"LINESTRING (85.328907 27.690057, 85.328944 27.690115)"
Baneshwor,1281233923,6671608041,0,766171686,,residential,True,,9.239087871461548,"LINESTRING (85.328907 27.690057, 85.328859 27.689985)"
Baneshwor,1281233923,7155782681,0,"[938739040, 232095616, 111846942, 183110577, 232095614]","['Madan Bhandari Path', 'बिजुलीबाजार पुल', 'मदन भण्डारी पथ']",trunk,True,40,564.8519637210848,"LINESTRING (85.328907 27.690057, 85.328572 27.69022, 85.32807 27.690463, 85.327929 27.690532, 85.327841 27.690575, 85.325508 27.691676, 85.324324 27.692229, 85.323858 27.692462)"
Baneshwor,314911416,1400078037,0,"[696973897, 232095619]",टङ्कप्रसाद सडक,tertiary,False,,205.18200804822786,"LINESTRING (85.324376 27.700273, 85.324493 27.70024, 85.325318 27.700114, 85.325464 27.700095, 85.325568 27.700092, 85.325713 27.7001, 85.325842 27.70009, 85.325961 27.70007, 85.326417 27.699959)"
Baneshwor,314911416,6537401355,0,696973900,टङ्कप्रसाद सडक,tertiary,True,,37.975758131011844,"LINESTRING (85.324376 27.700273, 85.324281 27.700316, 85.324208 27.70035, 85.324152 27.700381, 85.324051 27.700454)"
Baneshwor,1400078037,1400078024,0,232095619,टङ्कप्रसाद सडक,tertiary,False,,121.49877338820882,"LINESTRING (85.326417 27.699959, 85.327607 27.699673)"
Baneshwor,1400078037,1400078134,0,126253278,,residential,False,,181.37272582056235,"LINESTRING (85.326417 27.699959, 85.326628 27.7004, 85.326712 27.700713, 85.326754 27.700723, 85.326928 27.700678, 85.326945 27.700693, 85.326988 27.700996, 85.326996 27.701167, 85.327013 27.701203, 85.327094 27.70127)"
Baneshwor,317530944,5645771107,0,170533897,मदन भण्डारी पथ,tertiary,True,,18.501324956840364,"LINESTRING (85.347147 27.685613, 85.347057 27.685578, 85.346968 27.685579)"
Baneshwor,317530944,5645760469,0,591355894,मदन भण्डारी पथ,trunk,True,40,164.61314829045136,"LINESTRING (85.347147 27.685613, 85.347348 27.685497, 85.347625 27.685327, 85.347718 27.685264, 85.347824 27.685177, 85.348308 27.684751, 85.348412 27.684654)"
