area,osmid,latitude,longitude
Baneshwor,31148689,27.701876399999996,85.33914770000001
Baneshwor,1362317831,27.7020731,85.3385623
Baneshwor,360695605,27.701524299999992,85.3400588
Baneshwor,8506382777,27.701457099999995,85.3386426
Baneshwor,31150622,27.69713449999999,85.3505564
Baneshwor,2285165664,27.6969232,85.3508922
Baneshwor,6078178581,27.6961925,85.3501026
Baneshwor,1835392171,27.6977043,85.351134
Baneshwor,2283988126,27.697873800000004,85.3493775
Baneshwor,31150626,27.6982445,85.3487924
Baneshwor,12074608009,27.698609999999995,85.3495525
Baneshwor,3343356455,27.6984912,85.3483252
Baneshwor,31150628,27.698537399999996,85.3482052
Baneshwor,296332795,27.698819299999997,85.3473815
Baneshwor,6072590005,27.697420799999996,85.3477849
Baneshwor,31150643,27.701458099999993,85.340226
Baneshwor,3547387336,27.702124600000005,85.3405805
Baneshwor,2218374662,27.701195299999995,85.3408881
Baneshwor,31230922,27.687306399999997,85.35052220000001
Baneshwor,3045212606,27.686489899999998,85.3500447
Baneshwor,12989555495,27.6876231,85.3507234
Baneshwor,1274031398,27.699222899999995,85.3461296
Baneshwor,12520722847,27.698852599999995,85.3468978
Baneshwor,313735977,27.6915458,85.3324837
Baneshwor,1382902995,27.692420299999995,85.3331474
Baneshwor,1281221675,27.691705299999995,85.3320603
Baneshwor,1440792315,27.6900582,85.331793
Baneshwor,1281221669,27.691208699999997,85.333714
Baneshwor,313735983,27.6882089,85.3355568
Baneshwor,5289759124,27.688286599999994,85.3355777
Baneshwor,4914887960,27.688141899999994,85.3355352
Baneshwor,1281233923,27.6900571,85.3289071
Baneshwor,314911416,27.7002733,85.3243761
Baneshwor,1400078037,27.699958799999997,85.3264174
Baneshwor,317530944,27.685613400000005,85.347147
Baneshwor,5645771107,27.685578799999995,85.3469679
Baneshwor,1399427366,27.700609099999998,85.3396438
Baneshwor,360695716,27.696149799999997,85.337552
Baneshwor,1382903026,27.695942699999993,85.3375615
Baneshwor,672589942,27.696980199999995,85.3377323
Baneshwor,668708812,27.693635099999998,85.3262334
Baneshwor,2338508487,27.693469499999996,85.3267887
Baneshwor,7111414483,27.6917442,85.3257115
Baneshwor,2139807311,27.697811900000005,85.3379586
Baneshwor,3547375976,27.696758200000005,85.3386306
Baneshwor,2244693649,27.6973911,85.3365578
Baneshwor,672589973,27.6961589,85.3411326
Baneshwor,1317087958,27.696193300000004,85.3411424
Baneshwor,1382903029,27.696225699999996,85.3402764
Baneshwor,1950327064,27.6954414,85.340876
Baneshwor,672590014,27.6925077,85.3362174
Baneshwor,728152062,27.692159599999997,85.33531440000002
Baneshwor,1317084982,27.692918699999996,85.3379134
Baneshwor,3495404576,27.693386399999998,85.3368302
Baneshwor,1882453048,27.690885999999995,85.3360448
Baneshwor,672590063,27.6928521,85.3382696
Baneshwor,4346927216,27.692484,85.3381219
Baneshwor,1382903002,27.692797899999995,85.3385334
Baneshwor,672686234,27.68560749999999,85.3381047
Baneshwor,1931315731,27.6852829,85.3381118
Baneshwor,6538302358,27.685833400000003,85.3381194
Baneshwor,672686255,27.6852604,85.3391474
Baneshwor,672686235,27.6848324,85.3380183
Baneshwor,1931994030,27.685125999999997,85.3368269
Baneshwor,1882430902,27.684154099999997,85.3378107
Baneshwor,1931372160,27.685452699999995,85.3398036
Baneshwor,2172272920,27.684758200000005,85.3402647
Baneshwor,672686522,27.6816479,85.3434072
Baneshwor,1317078161,27.6816536,85.3434763
Baneshwor,10113638939,27.681607200000002,85.3426317
Baneshwor,1382902993,27.692339199999996,85.33499450000001
Baneshwor,1382902980,27.691559,85.3345735
Baneshwor,728152066,27.6928441,85.3334286
Baneshwor,1908520568,27.692734899999998,85.3337864
Baneshwor,728152067,27.694263,85.3339294
Baneshwor,1281221696,27.6943283,85.3330645
Baneshwor,1382824329,27.6947565,85.3339145
Baneshwor,728152069,27.6941657,85.3347389
Baneshwor,2148862751,27.6942311,85.3348899
Baneshwor,6858024929,27.6934736,85.3344912
Baneshwor,728152075,27.694040100000002,85.3370788
Baneshwor,2174567977,27.694225299999996,85.3371211
Baneshwor,728152153,27.697819700000004,85.3353573
